epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss
0,473,,,,0.5377137064933777,0.7032231092453003,0.5377137064933777
1,947,,,,0.42021286487579346,0.547774076461792,0.42021286487579346
2,1421,,,,0.3152127265930176,0.4205465018749237,0.3152127265930176
3,1895,,,,0.2510876953601837,0.3373052775859833,0.2510876953601837
4,2369,,,,0.21167172491550446,0.28596463799476624,0.21167172491550446
5,2843,,,,0.1923583298921585,0.2589355409145355,0.1923583298921585
6,3317,,,,0.18211621046066284,0.24570904672145844,0.18211621046066284
7,3791,,,,0.17009249329566956,0.22503450512886047,0.17009249329566956
8,4265,,,,0.15472319722175598,0.20223401486873627,0.15472319722175598
9,4739,,,,0.1430150419473648,0.18813389539718628,0.1430150419473648
10,5213,,,,0.13737446069717407,0.17966210842132568,0.13737446069717407
11,5687,,,,0.1303064525127411,0.17058627307415009,0.1303064525127411
12,6161,,,,0.12325091660022736,0.16179679334163666,0.12325091660022736
13,6635,,,,0.12145790457725525,0.1587599664926529,0.12145790457725525
14,7109,,,,0.11378330737352371,0.14899255335330963,0.11378330737352371
15,7583,,,,0.10790406167507172,0.14204464852809906,0.10790406167507172
16,8057,,,,0.10568874329328537,0.1394682377576828,0.10568874329328537
17,8531,,,,0.09940584748983383,0.13214638829231262,0.09940584748983383
18,9005,,,,0.09737760573625565,0.12868645787239075,0.09737760573625565
19,9479,,,,0.0950244665145874,0.12549220025539398,0.0950244665145874
20,9953,,,,0.09387391060590744,0.1247553825378418,0.09387391060590744
21,10427,,,,0.09098579734563828,0.1208793893456459,0.09098579734563828
22,10901,,,,0.08957280963659286,0.12001628428697586,0.08957280963659286
23,11375,,,,0.08790163695812225,0.11676084250211716,0.08790163695812225
24,11849,,,,0.0851357951760292,0.1142525002360344,0.0851357951760292
25,12323,,,,0.08455342054367065,0.11271536350250244,0.08455342054367065
26,12797,,,,0.08258750289678574,0.11036427319049835,0.08258750289678574
27,13271,,,,0.08067577332258224,0.10756133496761322,0.08067577332258224
28,13745,,,,0.07990101724863052,0.10659720003604889,0.07990101724863052
29,14219,,,,0.0776301696896553,0.10445328801870346,0.0776301696896553
30,14693,,,,0.08008728921413422,0.10670740157365799,0.08008728921413422
31,15167,,,,0.0757911205291748,0.10193423926830292,0.0757911205291748
32,15641,,,,0.07531937956809998,0.10218308866024017,0.07531937956809998
33,16115,,,,0.07325650006532669,0.09873051196336746,0.07325650006532669
34,16589,,,,0.07246275246143341,0.0979289710521698,0.07246275246143341
35,17063,,,,0.07151924073696136,0.09672832489013672,0.07151924073696136
36,17537,,,,0.07076691091060638,0.09559541940689087,0.07076691091060638
37,18011,,,,0.07026810199022293,0.09470067173242569,0.07026810199022293
38,18485,,,,0.07055182754993439,0.09511449933052063,0.07055182754993439
39,18959,,,,0.06648171693086624,0.090225450694561,0.06648171693086624
40,19433,,,,0.06663083285093307,0.0906081348657608,0.06663083285093307
41,19907,,,,0.06533829867839813,0.08930377662181854,0.06533829867839813
42,20381,,,,0.06520631164312363,0.08889767527580261,0.06520631164312363
43,20855,,,,0.06341235339641571,0.08708605170249939,0.06341235339641571
44,21329,,,,0.06422349810600281,0.08751869201660156,0.06422349810600281
45,21803,,,,0.0628354623913765,0.08610755950212479,0.0628354623913765
46,22277,,,,0.0641857460141182,0.08747924119234085,0.0641857460141182
47,22751,,,,0.061326976865530014,0.08436781913042068,0.061326976865530014
48,23225,,,,0.06058983504772186,0.08318053930997849,0.06058983504772186
49,23699,,,,0.06171964481472969,0.08431214094161987,0.06171964481472969
50,24173,,,,0.05897098407149315,0.08120396733283997,0.05897098407149315
51,24647,,,,0.05939206853508949,0.08179272711277008,0.05939206853508949
52,25121,,,,0.058615732938051224,0.08106131106615067,0.058615732938051224
53,25595,,,,0.057705674320459366,0.07998894155025482,0.057705674320459366
54,26069,,,,0.057086605578660965,0.07923011481761932,0.057086605578660965
55,26543,,,,0.05810704454779625,0.08008724451065063,0.05810704454779625
56,27017,,,,0.056167665868997574,0.07824469357728958,0.056167665868997574
57,27491,,,,0.05703068524599075,0.07861532270908356,0.05703068524599075
58,27965,,,,0.05683512985706329,0.07848863303661346,0.05683512985706329
59,28439,,,,0.055457718670368195,0.07678190618753433,0.055457718670368195
60,28913,,,,0.05473332107067108,0.07588838785886765,0.05473332107067108
61,29387,,,,0.05434594303369522,0.07538352161645889,0.05434594303369522
62,29861,,,,0.05359433963894844,0.07479439675807953,0.05359433963894844
63,30335,,,,0.054441697895526886,0.07535319030284882,0.054441697895526886
64,30809,,,,0.05267252027988434,0.07360781729221344,0.05267252027988434
65,31283,,,,0.05237041786313057,0.07312073558568954,0.05237041786313057
66,31757,,,,0.052243541926145554,0.07277049124240875,0.052243541926145554
67,32231,,,,0.052084267139434814,0.07280214875936508,0.052084267139434814
68,32705,,,,0.05317442864179611,0.07405078411102295,0.05317442864179611
69,33179,,,,0.050735555589199066,0.07141998410224915,0.050735555589199066
70,33653,,,,0.051138702780008316,0.07118000090122223,0.051138702780008316
71,34127,,,,0.04951944574713707,0.06946730613708496,0.04951944574713707
72,34601,,,,0.05101282149553299,0.07122740894556046,0.05101282149553299
73,35075,,,,0.050455011427402496,0.07058081030845642,0.050455011427402496
74,35549,,,,0.04891376569867134,0.06855697184801102,0.04891376569867134
75,36023,,,,0.04982763156294823,0.06957460194826126,0.04982763156294823
76,36497,,,,0.04931390658020973,0.06919083744287491,0.04931390658020973
77,36971,,,,0.048169899731874466,0.06798501312732697,0.048169899731874466
78,37445,,,,0.04751884564757347,0.06683434545993805,0.04751884564757347
79,37919,,,,0.04757813364267349,0.06736273318529129,0.04757813364267349
80,38393,,,,0.04779351130127907,0.06705296039581299,0.04779351130127907
81,38867,,,,0.0474984310567379,0.06666550040245056,0.0474984310567379
82,39341,,,,0.04634441062808037,0.06556352972984314,0.04634441062808037
83,39815,,,,0.046807464212179184,0.06613777577877045,0.046807464212179184
84,40289,,,,0.04602063447237015,0.06479024887084961,0.04602063447237015
85,40763,,,,0.04738364368677139,0.06624209880828857,0.04738364368677139
86,41237,,,,0.045406315475702286,0.0641704648733139,0.045406315475702286
87,41711,,,,0.04496881365776062,0.06404387950897217,0.04496881365776062
88,42185,,,,0.0458817258477211,0.0643027126789093,0.0458817258477211
89,42659,,,,0.044686608016490936,0.06296595185995102,0.044686608016490936
90,43133,,,,0.045135580003261566,0.06363774836063385,0.045135580003261566
91,43607,,,,0.04486197605729103,0.06338699162006378,0.04486197605729103
92,44081,,,,0.043926727026700974,0.06229938194155693,0.043926727026700974
93,44555,,,,0.04363951086997986,0.06147376447916031,0.04363951086997986
94,45029,,,,0.04331314563751221,0.06158524751663208,0.04331314563751221
95,45503,,,,0.04436197504401207,0.06267620623111725,0.04436197504401207
96,45977,,,,0.04352742061018944,0.06173918396234512,0.04352742061018944
97,46451,,,,0.0426928736269474,0.06046441197395325,0.0426928736269474
98,46925,,,,0.04263957962393761,0.06017490103840828,0.04263957962393761
99,47399,,,,0.04318927973508835,0.060746390372514725,0.04318927973508835
100,47873,,,,0.04234766960144043,0.05983467027544975,0.04234766960144043
101,48347,,,,0.04331795871257782,0.06118850037455559,0.04331795871257782
102,48821,,,,0.04172537475824356,0.05888722464442253,0.04172537475824356
103,49295,,,,0.0411871038377285,0.05798203870654106,0.0411871038377285
