Element,Coordinates
H,"[-76.83593264578961, -132.27453103324663, 221.37013818533183, -144.1961138738051, -17.149369708947894, -203.9460315994506, -109.55598295933645, -92.55793686481209, -43.206924304413775, 56.90651746169459, -216.6041907415257, 135.4869708772887, -74.5467410307547, 203.21591732753595, 300.2979461185566, -95.49583064546796, -19.173155824334398, 193.26916962616272, 68.67635585933942, 38.959275498323386, -139.37723281768706, -51.328092639674445, 42.03028507368936, 5.848600730290226, 198.34252497741596, 42.10035226380542, 37.863719147813235, -155.0350120424302, -73.47400728902319, -202.5390405077559, -209.34529826105737, 211.44862480800683]"
He,"[-93.98534958631407, -78.99305539832882, 205.03391172524022, -173.6108979946051, -163.57640666172355, 77.64548606093743, 67.86965482518451, 41.20596107367687, 84.37739996542403, -223.35938459497612, 131.1785011019811, -154.97229297297784, 22.886665070792443, 342.57549065583436, 15.462158451917436, 183.70358587993618, -173.8010688124753, 161.33742442985204, 76.41630698458499, 299.16790053208103, -164.61228660007185, 56.04100097273161, 64.39209539768304, -28.862607885751128, -51.7972913516523, -89.99133225387746, 158.77450672585468, -2.6411983848912572, -47.51065643007411, 113.23504146239911, -65.38977442785762, 151.5110557903466]"
Li,"[94.9597831219782, -145.7051643765396, 2.623985578502675, -12.550336256610752, 174.63994752344612, 300.076998259384, -109.96228384593627, -30.51954931157359, -169.64631067946385, 89.13839065090161, 115.45184522065416, -98.66116169719028, -155.7457603301874, 82.17230881864083, 188.15885955513326, -110.0558047750191, -34.858666556493006, 138.72093196367152, 76.15465050994372, 86.65821477897485, 51.20356118370676, 161.18773289475018, 113.57149286701477, -115.51017962245436, -68.47106946590488, -58.25650733285633, -36.20504055839453, 120.54899969892496, 153.86517277842944, -107.26769660536556, -113.60538136440108, -49.49800971211797]"
Be,"[-210.7820738514875, -104.47106332511564, -30.52959244297841, -144.35489314350482, -199.53513042070165, -175.8668619205867, -102.26783972691405, 103.24031703606701, 144.5072867569971, -11.727026985017424, 134.21013568535722, -109.67308038031636, -15.549491718124324, -56.78865781772789, 140.64561448303542, -196.61120637698497, -215.15666333390791, -1.715029036360967, 10.211324076283137, 37.39610590843879, 82.10580495160738, 115.62067536821887, 5.158970342394314, -88.02122126997061, -219.90688783617838, -68.71355231230002, -38.72694272247255, -36.75520028466415, 99.20926073739685, -257.62139395200063, -30.432358699254532, -97.78851262266431]"
B,"[-102.94053866831467, -353.28424231710676, 143.28109531170958, -198.56465507984214, 89.90386272425586, 56.81138713763248, 144.69345646257705, -119.0360435449878, 232.0331606364288, 115.00249769264362, -51.30556012704319, 38.61580508322436, -255.9820668124359, 128.93946716575624, 229.02657073235855, 312.2754304965797, -74.12046682085878, -50.71343329172296, 0.012187695345093758, -42.08601513190771, -14.46733111732882, 4.279028479273772, -94.4802780627974, 150.44605793318755, -168.57956772191832, 91.42594361652843, -23.88910015204964, -45.15164089404795, -8.753788818843416, -65.3498314300424, 101.19072244785335, -29.354672627234066]"
C,"[34.235910022114126, -195.46251093896595, 183.1033102243031, -94.76138345476642, 129.52198785086338, -25.84029294741165, 169.3712443547459, 273.31198982466344, -177.75990434742016, -31.297938610596884, -136.4009452648663, 36.25124701853715, -73.92221422290972, 32.05999216547658, -9.21755530605557, -42.27170026588175, -293.3971380337105, 36.273055727654416, 89.4183995045161, -115.25000684183621, -212.05938272335433, 33.74399753443512, 100.8009366090078, 234.03390410170493, -121.43737215897255, -275.9258878606111, 141.25181125138505, -27.90213069593284, -38.115393019565715, -160.16133793507842, 97.00762953449843, 100.64552795778766]"
N,"[-75.91453297328249, -158.8472001733883, 136.6894509713068, -268.9198921623893, -25.6863342576945, -51.31187931136367, 23.429225909498722, 244.0730517932484, -174.385440746154, -95.57819688414044, -259.20998843894006, -130.0865049791179, -259.8125239825806, 105.15148315285292, 65.60983590869412, -45.7026108020554, -61.81675102900342, -138.11188491773473, -82.32601460413646, 212.49064793926556, -29.949463898849725, 153.1707881442328, -197.0016301285982, -90.25287049810122, 186.25097884247816, 123.55329434050893, 28.27139050018827, 33.37736590824346, 98.98972829299261, 27.01757175948619, 192.13987597317785, 45.46734791081775]"
O,"[58.80979668986659, -67.13755057864245, -193.35258605577903, -73.72940017653565, 214.51700280270893, 45.03033634533503, -43.20698482299446, 257.03616652062817, 80.53339958143613, -191.50022610711218, -119.26434876813472, -114.62665085281711, -54.433575334347786, 158.6637657991605, 278.4497275970876, -56.79773018724321, 2.1029772176800683, -9.453634134221764, 94.28264865350529, 251.66318099090824, 21.414800463279633, -1.257280343594024, -72.18701235460438, 246.86020680084252, -137.61342149858476, 108.76463814295961, 123.72644357879894, -257.8527589188442, -180.44517352986634, -87.08124550879455, -38.947740822676934, 47.00276334331162]"
F,"[-12.23123028318209, -85.9986941967728, -71.43569526892537, -21.12882495717803, -84.1204093644868, -145.48033106258606, 126.95865584330664, 209.8550037180044, 40.068786212944005, -2.4524012469247776, -138.31950400595267, -185.62157104844962, -122.53100839618526, -43.31731773028546, 220.4728605352266, 183.58334417742088, 96.20256167230544, 248.23030963608755, 288.0955869942831, -112.9829477190581, -204.54361864617547, 142.01275178413587, -48.109444592321914, -37.20435472644182, -91.28823597273562, 150.68658388397907, 248.26796448232133, 73.06215794606098, 186.62747814848356, -22.781883436237152, -16.906186742737095, 140.19796944739565]"
Ne,"[-223.6920362704114, 87.07612905757678, 154.6222410820159, -8.441529674461528, 126.91914654552066, -9.745312932271686, 21.102911719155973, 138.68653859710665, -0.9389685114746261, 43.681460105725584, 41.8442624008573, -104.56147762086944, -51.48570135584114, -68.07538262004203, 338.65907909519785, 107.6524285714724, -36.106136920878875, -55.741314765903745, -28.74891249210418, 72.86729189548205, -186.21449274087595, 253.55878935242006, -155.55594799886023, 170.87752020541114, 21.01378518653674, -202.0381525224151, -155.04853645472278, -197.12865880625324, 153.44732218463193, 106.11174684272406, -96.50994343055517, 254.39597886556075]"
