Element,Coordinates
H,"[-457.93985136548616, -98.49987750530079, 609.8011749901751, -154.0814425182595]"
He,"[212.6164135064087, -38.38327846776624, 428.7192509877986, 628.4388625701137]"
Li,"[-444.605488279285, 130.29893621635935, 152.04337902982917, -446.16816945428917]"
Be,"[-17.588530108173348, 55.19499042227014, 11.031671713137573, 693.0569210617666]"
B,"[221.99742611701174, 57.51584399514172, 720.5338105938788, -153.3889259358171]"
C,"[-341.8392454955082, 534.6550013682189, 429.50726545774484, -11.476222261573524]"
N,"[-56.09356890995839, 483.5874350971124, 484.28043313166484, 330.2384881046518]"
O,"[-187.8405651267925, -269.26351116316647, 706.0895860437191, 92.0564661649105]"
F,"[134.92353273218825, 518.2520104091475, 406.1494957809055, -385.055072426708]"
Ne,"[-612.8778527044434, 208.47191486495132, 438.0753942081294, -41.85331272415611]"
Na,"[-387.06742881156873, 345.7554959632073, 181.81641667260257, -505.75480702865866]"
Mg,"[249.58148631713533, -196.1810153243841, -175.66147662420005, 36.76591566726658]"
Al,"[147.15876007241962, -111.05839824915208, -255.24689725514773, -114.55086684735163]"
Si,"[-153.18603471110006, 408.15599511687077, -446.0011682313817, -190.8385572662843]"
P,"[-475.2026435144405, 431.20765730904634, 69.35525073507605, 377.7362972801722]"
S,"[47.68945570628293, 419.32157572065347, -314.5576059916972, 430.0384444115464]"
Cl,"[101.39509358771362, 754.1490020285916, 130.34835595436962, 5.5959297507649195]"
Ar,"[235.34099028258765, 493.66217562150894, 199.09928563761125, 524.278044403014]"
K,"[-345.4209114393796, 382.80736737570265, 50.16692797517872, -490.35018370226953]"
Ca,"[-311.0943850197356, -326.21117436747346, -197.46618359847065, 89.63160059406168]"
Sc,"[-78.70971008335654, -272.53391897678296, -219.54145295974314, -3.0133758863675517]"
Ti,"[21.978162565453182, -317.6137402018454, -185.71438257623, -8.21786345376265]"
V,"[102.34376066534993, -318.36879477515834, -165.9251193503455, -21.997337686019765]"
Cr,"[216.90582885842997, -215.4378918423183, -168.59428048244817, -38.76922578635528]"
