epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss
0,31,,,,587.2157592773438,757.1358642578125,587.2157592773438
1,63,,,,369.64617919921875,562.497802734375,369.64617919921875
2,95,,,,233.73365783691406,436.6353454589844,233.73365783691406
3,127,,,,198.46173095703125,388.8260803222656,198.46173095703125
4,159,,,,168.69320678710938,331.1794128417969,168.69320678710938
5,191,,,,142.9442138671875,280.7885437011719,142.9442138671875
6,223,,,,134.8572235107422,274.2349853515625,134.8572235107422
7,255,,,,124.74356079101562,268.25372314453125,124.74356079101562
8,287,,,,111.53616333007812,244.4687042236328,111.53616333007812
9,319,,,,101.10497283935547,217.7608184814453,101.10497283935547
10,351,,,,93.19178009033203,206.88296508789062,93.19178009033203
11,383,,,,92.21693420410156,193.1741485595703,92.21693420410156
12,415,,,,83.76026153564453,182.46243286132812,83.76026153564453
13,447,,,,81.51184844970703,174.6476593017578,81.51184844970703
14,479,,,,80.44606018066406,177.57069396972656,80.44606018066406
15,511,,,,80.05767059326172,170.4857635498047,80.05767059326172
16,543,,,,78.61149597167969,165.60440063476562,78.61149597167969
17,575,,,,72.62042999267578,156.95028686523438,72.62042999267578
18,607,,,,72.44178009033203,149.11936950683594,72.44178009033203
19,639,,,,71.45677185058594,142.39004516601562,71.45677185058594
20,671,,,,69.97429656982422,148.00241088867188,69.97429656982422
21,703,,,,68.13172149658203,139.5041961669922,68.13172149658203
22,735,,,,71.24654388427734,134.67575073242188,71.24654388427734
23,767,,,,62.7807502746582,118.3106689453125,62.7807502746582
24,799,,,,63.48674011230469,122.57579040527344,63.48674011230469
25,831,,,,63.230716705322266,112.93730163574219,63.230716705322266
26,863,,,,62.16669464111328,108.64119720458984,62.16669464111328
27,895,,,,59.449554443359375,105.17044067382812,59.449554443359375
28,927,,,,61.708621978759766,106.97549438476562,61.708621978759766
29,959,,,,52.322608947753906,93.25157928466797,52.322608947753906
30,991,,,,55.3117561340332,94.94818878173828,55.3117561340332
31,1023,,,,52.48346710205078,92.49485778808594,52.48346710205078
32,1055,,,,53.56749725341797,92.12345886230469,53.56749725341797
33,1087,,,,54.38246536254883,88.26625061035156,54.38246536254883
