epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss
0,31,,,,582.1875610351562,756.2932739257812,582.1875610351562
1,63,,,,387.6853332519531,562.439208984375,387.6853332519531
2,95,,,,271.64459228515625,469.37982177734375,271.64459228515625
3,127,,,,232.98956298828125,423.1258850097656,232.98956298828125
4,159,,,,211.94595336914062,410.6554260253906,211.94595336914062
5,191,,,,188.03985595703125,361.540283203125,188.03985595703125
6,223,,,,153.38702392578125,310.7999267578125,153.38702392578125
7,255,,,,119.76031494140625,249.6814727783203,119.76031494140625
8,287,,,,106.99895477294922,227.66419982910156,106.99895477294922
9,319,,,,99.19328308105469,201.46946716308594,99.19328308105469
10,351,,,,93.88349151611328,182.07614135742188,93.88349151611328
11,383,,,,95.03984069824219,187.12074279785156,95.03984069824219
12,415,,,,86.22601318359375,163.18963623046875,86.22601318359375
13,447,,,,100.15174102783203,187.8057098388672,100.15174102783203
14,479,,,,79.40171813964844,150.08782958984375,79.40171813964844
15,511,,,,77.56076049804688,142.22267150878906,77.56076049804688
16,543,,,,74.94876098632812,126.66808319091797,74.94876098632812
17,575,,,,68.4424057006836,115.12875366210938,68.4424057006836
18,607,,,,71.12569427490234,117.90935516357422,71.12569427490234
19,639,,,,70.98560333251953,114.66716003417969,70.98560333251953
20,671,,,,63.15872573852539,99.85631561279297,63.15872573852539
21,703,,,,58.276824951171875,90.99678802490234,58.276824951171875
22,735,,,,55.466644287109375,84.62895965576172,55.466644287109375
23,767,,,,62.60503387451172,100.40818786621094,62.60503387451172
24,799,,,,52.255714416503906,81.51306915283203,52.255714416503906
25,831,,,,51.20246124267578,81.19571685791016,51.20246124267578
26,863,,,,46.10822296142578,73.71011352539062,46.10822296142578
27,895,,,,48.020957946777344,76.06122589111328,48.020957946777344
28,927,,,,45.45280456542969,74.19554138183594,45.45280456542969
29,959,,,,45.82704162597656,70.95819091796875,45.82704162597656
30,991,,,,49.62490463256836,81.68016815185547,49.62490463256836
31,1023,,,,44.52574157714844,70.42662048339844,44.52574157714844
32,1055,,,,51.138587951660156,80.42453002929688,51.138587951660156
33,1087,,,,48.31748580932617,79.81505584716797,48.31748580932617
34,1119,,,,45.567298889160156,75.27994537353516,45.567298889160156
35,1151,,,,52.07387924194336,82.62267303466797,52.07387924194336
36,1183,,,,42.47270584106445,70.68065643310547,42.47270584106445
37,1215,,,,40.391056060791016,66.02642059326172,40.391056060791016
38,1247,,,,38.92457580566406,63.363868713378906,38.92457580566406
39,1279,,,,38.44942855834961,63.397796630859375,38.44942855834961
40,1311,,,,45.217262268066406,73.90376281738281,45.217262268066406
41,1343,,,,39.93131637573242,66.1539306640625,39.93131637573242
42,1375,,,,45.48463439941406,73.984375,45.48463439941406
43,1407,,,,39.33580017089844,65.52528381347656,39.33580017089844
44,1439,,,,36.752227783203125,59.87888717651367,36.752227783203125
45,1471,,,,36.35494613647461,60.75546646118164,36.35494613647461
46,1503,,,,42.4449462890625,69.66908264160156,42.4449462890625
47,1535,,,,42.040504455566406,68.00430297851562,42.040504455566406
48,1567,,,,37.09464645385742,63.142601013183594,37.09464645385742
49,1599,,,,34.15673065185547,59.2707405090332,34.15673065185547
50,1631,,,,38.49555969238281,64.6588363647461,38.49555969238281
51,1663,,,,37.27005386352539,61.25709533691406,37.27005386352539
52,1695,,,,42.88204574584961,69.56415557861328,42.88204574584961
53,1727,,,,38.425331115722656,64.18095397949219,38.425331115722656
54,1759,,,,35.804569244384766,59.696205139160156,35.804569244384766
55,1791,,,,37.93543243408203,62.41591262817383,37.93543243408203
56,1823,,,,37.088096618652344,61.88718032836914,37.088096618652344
57,1855,,,,33.332115173339844,57.21762466430664,33.332115173339844
58,1887,,,,34.618934631347656,59.091007232666016,34.618934631347656
59,1919,,,,32.47270202636719,56.75944900512695,32.47270202636719
60,1951,,,,33.36917495727539,55.126834869384766,33.36917495727539
61,1983,,,,34.44013595581055,59.682979583740234,34.44013595581055
62,2015,,,,38.64513397216797,64.337158203125,38.64513397216797
63,2047,,,,34.849430084228516,58.36758804321289,34.849430084228516
64,2079,,,,41.80705261230469,70.13452911376953,41.80705261230469
65,2111,,,,39.85589599609375,65.0068588256836,39.85589599609375
66,2143,,,,33.25672149658203,56.46061325073242,33.25672149658203
67,2175,,,,33.574485778808594,56.824344635009766,33.574485778808594
68,2207,,,,35.958560943603516,59.77400588989258,35.958560943603516
69,2239,,,,33.551334381103516,55.405338287353516,33.551334381103516
70,2271,,,,34.59920120239258,58.746742248535156,34.59920120239258
71,2303,,,,34.2724609375,57.62273025512695,34.2724609375
72,2335,,,,32.15686798095703,53.9764289855957,32.15686798095703
73,2367,,,,32.533233642578125,55.750614166259766,32.533233642578125
74,2399,,,,35.09172439575195,58.43006134033203,35.09172439575195
75,2431,,,,38.96748352050781,67.2823486328125,38.96748352050781
76,2463,,,,32.43583297729492,53.80885314941406,32.43583297729492
77,2495,,,,33.18647384643555,56.129154205322266,33.18647384643555
78,2527,,,,31.328969955444336,54.08790588378906,31.328969955444336
79,2559,,,,33.2686882019043,55.97885513305664,33.2686882019043
80,2591,,,,31.48712921142578,53.056270599365234,31.48712921142578
81,2623,,,,33.0300178527832,55.1304931640625,33.0300178527832
82,2655,,,,32.95690155029297,56.41204833984375,32.95690155029297
83,2687,,,,35.74358367919922,60.59397506713867,35.74358367919922
84,2719,,,,32.371482849121094,54.48017883300781,32.371482849121094
85,2751,,,,33.3333625793457,57.1380729675293,33.3333625793457
86,2783,,,,32.24909591674805,53.86690902709961,32.24909591674805
87,2815,,,,30.877084732055664,50.22417068481445,30.877084732055664
88,2847,,,,33.267066955566406,55.56224822998047,33.267066955566406
89,2879,,,,34.77859115600586,56.795047760009766,34.77859115600586
90,2911,,,,30.83333969116211,51.77328109741211,30.83333969116211
91,2943,,,,32.02240753173828,54.32727813720703,32.02240753173828
92,2975,,,,32.343204498291016,54.172672271728516,32.343204498291016
93,3007,,,,37.21775817871094,59.50019454956055,37.21775817871094
94,3039,,,,31.598323822021484,52.7152099609375,31.598323822021484
95,3071,,,,31.469263076782227,50.88803482055664,31.469263076782227
96,3103,,,,31.6203556060791,53.629241943359375,31.6203556060791
97,3135,,,,32.855140686035156,56.2571907043457,32.855140686035156
98,3167,,,,29.947202682495117,50.56415557861328,29.947202682495117
99,3199,,,,32.9303092956543,51.237876892089844,32.9303092956543
100,3231,,,,33.143577575683594,55.886695861816406,33.143577575683594
101,3263,,,,30.929393768310547,51.77745819091797,30.929393768310547
102,3295,,,,29.949905395507812,50.306060791015625,29.949905395507812
103,3327,,,,39.448734283447266,65.63667297363281,39.448734283447266
104,3359,,,,30.455095291137695,51.22989273071289,30.455095291137695
105,3391,,,,33.18445587158203,57.94431686401367,33.18445587158203
106,3423,,,,32.19876480102539,54.040306091308594,32.19876480102539
107,3455,,,,30.264850616455078,51.01105499267578,30.264850616455078
108,3487,,,,28.795183181762695,51.212005615234375,28.795183181762695
109,3519,,,,33.934425354003906,58.474918365478516,33.934425354003906
110,3551,,,,27.92225456237793,48.02766036987305,27.92225456237793
111,3583,,,,28.38582992553711,47.74079895019531,28.38582992553711
112,3615,,,,31.667028427124023,56.0001335144043,31.667028427124023
113,3647,,,,33.348670959472656,57.3188591003418,33.348670959472656
114,3679,,,,30.690271377563477,52.115203857421875,30.690271377563477
115,3711,,,,30.683216094970703,50.40057373046875,30.683216094970703
116,3743,,,,30.804014205932617,52.89540481567383,30.804014205932617
117,3775,,,,29.849773406982422,50.82878494262695,29.849773406982422
118,3807,,,,28.383121490478516,49.73114776611328,28.383121490478516
119,3839,,,,28.114011764526367,48.43117904663086,28.114011764526367
120,3871,,,,30.25107765197754,49.67169952392578,30.25107765197754
121,3903,,,,38.37031173706055,62.57133483886719,38.37031173706055
122,3935,,,,33.7614631652832,58.26305389404297,33.7614631652832
123,3967,,,,34.97423553466797,56.72966766357422,34.97423553466797
124,3999,,,,27.385286331176758,48.53786087036133,27.385286331176758
125,4031,,,,29.84139633178711,52.498497009277344,29.84139633178711
126,4063,,,,29.206157684326172,49.84931945800781,29.206157684326172
127,4095,,,,28.610815048217773,48.57557678222656,28.610815048217773
128,4127,,,,31.984704971313477,53.94704818725586,31.984704971313477
129,4159,,,,30.565404891967773,52.637657165527344,30.565404891967773
130,4191,,,,28.536500930786133,51.46296310424805,28.536500930786133
131,4223,,,,34.60346984863281,56.72578430175781,34.60346984863281
132,4255,,,,29.459394454956055,52.24947738647461,29.459394454956055
