epoch,step,train_MAE,train_RMSE,train_Total_Loss
0,119,0.7449576258659363,1.41257905960083,0.7449576258659363
1,239,0.5252216458320618,1.1765471696853638,0.5252216458320618
2,359,0.4769967198371887,1.1063158512115479,0.4769967198371887
3,479,0.4706072211265564,1.1249765157699585,0.4706072211265564
4,599,0.4584134817123413,1.1314090490341187,0.4584134817123413
5,719,0.44930368661880493,1.0950523614883423,0.44930368661880493
6,839,0.44590988755226135,1.1001425981521606,0.44590988755226135
7,959,0.4251117706298828,1.0926167964935303,0.4251117706298828
8,1079,0.42311128973960876,1.0728628635406494,0.42311128973960876
9,1199,0.43208637833595276,1.0587239265441895,0.43208637833595276
10,1319,0.43509846925735474,1.0950815677642822,0.43509846925735474
11,1439,0.43401265144348145,1.0928300619125366,0.43401265144348145
12,1559,0.4560636878013611,1.113662600517273,0.4560636878013611
13,1679,0.44944635033607483,1.1105486154556274,0.44944635033607483
14,1799,0.42041900753974915,1.1077440977096558,0.42041900753974915
15,1919,0.4124833941459656,1.0576633214950562,0.4124833941459656
16,2039,0.41393229365348816,1.060600996017456,0.41393229365348816
17,2159,0.41925087571144104,1.087428092956543,0.41925087571144104
18,2279,0.4089367389678955,1.0800836086273193,0.4089367389678955
19,2399,0.4106390178203583,1.0769355297088623,0.4106390178203583
20,2519,0.39123404026031494,1.039168357849121,0.39123404026031494
21,2639,0.39448583126068115,1.0098247528076172,0.39448583126068115
22,2759,0.40295496582984924,1.049180269241333,0.40295496582984924
23,2879,0.3882106840610504,1.0466192960739136,0.3882106840610504
24,2999,0.3871116042137146,1.056228756904602,0.3871116042137146
25,3119,0.3912747800350189,1.038365125656128,0.3912747800350189
26,3239,0.3771783709526062,1.0163238048553467,0.3771783709526062
27,3359,0.3985018730163574,1.0538190603256226,0.3985018730163574
28,3479,0.410357803106308,1.0730063915252686,0.410357803106308
29,3599,0.4484759569168091,1.1161264181137085,0.4484759569168091
30,3719,0.4363558292388916,1.1072713136672974,0.4363558292388916
31,3839,0.40342310070991516,1.0878958702087402,0.40342310070991516
32,3959,0.39972585439682007,1.0497288703918457,0.39972585439682007
33,4079,0.39478981494903564,1.0563548803329468,0.39478981494903564
34,4199,0.42820149660110474,1.0759931802749634,0.42820149660110474
35,4319,0.41754448413848877,1.065906047821045,0.41754448413848877
36,4439,0.3934706747531891,1.0611110925674438,0.3934706747531891
37,4559,0.3884732127189636,1.0374603271484375,0.3884732127189636
38,4679,0.3874511122703552,1.0475815534591675,0.3874511122703552
39,4799,0.3800247013568878,1.0182220935821533,0.3800247013568878
40,4919,0.3789064288139343,1.0197529792785645,0.3789064288139343
41,5039,0.37768247723579407,1.0035371780395508,0.37768247723579407
42,5159,0.3671826124191284,1.029106616973877,0.3671826124191284
43,5279,0.3642233908176422,0.9967505931854248,0.3642233908176422
44,5399,0.37137192487716675,1.0036948919296265,0.37137192487716675
45,5519,0.3651191294193268,1.0172417163848877,0.3651191294193268
46,5639,0.35854387283325195,0.9838585257530212,0.35854387283325195
47,5759,0.3667014241218567,1.0105657577514648,0.3667014241218567
48,5879,0.3619964122772217,1.013027310371399,0.3619964122772217
49,5999,0.3590962588787079,0.9689584970474243,0.3590962588787079
50,6119,0.35263875126838684,1.0103092193603516,0.35263875126838684
51,6239,0.370191365480423,0.9871978163719177,0.370191365480423
52,6359,0.3573933243751526,1.0128095149993896,0.3573933243751526
53,6479,0.3790103495121002,1.030402421951294,0.3790103495121002
54,6599,0.3638010323047638,1.0132566690444946,0.3638010323047638
55,6719,0.3592507541179657,1.004887580871582,0.3592507541179657
56,6839,0.3675578534603119,1.006373643875122,0.3675578534603119
57,6959,0.3528265953063965,0.9574782848358154,0.3528265953063965
58,7079,0.34463101625442505,0.9661540389060974,0.34463101625442505
59,7199,0.3480396866798401,0.9662702679634094,0.3480396866798401
60,7319,0.3462026119232178,0.9821171760559082,0.3462026119232178
61,7439,0.3769899010658264,1.0277109146118164,0.3769899010658264
62,7559,0.3660786747932434,0.9776247143745422,0.3660786747932434
63,7679,0.34651875495910645,0.9862995147705078,0.34651875495910645
64,7799,0.35193854570388794,0.9922704100608826,0.35193854570388794
65,7919,0.3650713264942169,0.9569311141967773,0.3650713264942169
66,8039,0.4015805423259735,1.0157982110977173,0.4015805423259735
67,8159,0.3739553391933441,1.0130881071090698,0.3739553391933441
68,8279,0.36145731806755066,1.0066403150558472,0.36145731806755066
69,8399,0.36613091826438904,1.0030138492584229,0.36613091826438904
70,8519,0.3541550934314728,0.9894413352012634,0.3541550934314728
71,8639,0.35303157567977905,1.003916621208191,0.35303157567977905
72,8759,0.35447290539741516,0.9956604838371277,0.35447290539741516
73,8879,0.3381842076778412,0.9601359963417053,0.3381842076778412
74,8999,0.34055566787719727,0.9547904133796692,0.34055566787719727
75,9119,0.33457326889038086,0.9153519868850708,0.33457326889038086
76,9239,0.33452433347702026,0.9671309590339661,0.33452433347702026
77,9359,0.33731573820114136,0.9639299511909485,0.33731573820114136
78,9479,0.4380887746810913,1.0831612348556519,0.4380887746810913
79,9599,0.38036981225013733,1.0189276933670044,0.38036981225013733
80,9719,0.367405503988266,1.0252193212509155,0.367405503988266
81,9839,0.3851775825023651,1.0242899656295776,0.3851775825023651
82,9959,0.37581974267959595,1.0142039060592651,0.37581974267959595
83,10079,0.35871264338493347,1.01334547996521,0.35871264338493347
84,10199,0.34624364972114563,0.9908287525177002,0.34624364972114563
85,10319,0.34979337453842163,0.9713348150253296,0.34979337453842163
86,10439,0.34162431955337524,0.9967823028564453,0.34162431955337524
87,10559,0.336428701877594,0.985096275806427,0.336428701877594
88,10679,0.34390637278556824,0.9641420841217041,0.34390637278556824
89,10799,0.356191486120224,0.9706128835678101,0.356191486120224
90,10919,0.34425294399261475,0.9803692698478699,0.34425294399261475
91,11039,0.338763028383255,0.9741949439048767,0.338763028383255
92,11159,0.3433483839035034,0.9735808372497559,0.3433483839035034
93,11279,0.33907273411750793,0.9218133687973022,0.33907273411750793
