epoch,step,train_MAE,train_RMSE,train_Total_Loss
0,274,0.3630092442035675,0.4700220227241516,0.3630092442035675
1,549,0.2423112690448761,0.3218301236629486,0.2423112690448761
2,824,0.22408127784729004,0.29999133944511414,0.22408127784729004
3,1099,0.20894253253936768,0.28615009784698486,0.20894253253936768
4,1374,0.19936497509479523,0.27314960956573486,0.19936497509479523
5,1649,0.18925799429416656,0.26249536871910095,0.18925799429416656
6,1924,0.1853836327791214,0.25846174359321594,0.1853836327791214
7,2199,0.1787753403186798,0.25243887305259705,0.1787753403186798
8,2474,0.17323295772075653,0.24776168167591095,0.17323295772075653
9,2749,0.16619153320789337,0.24042290449142456,0.16619153320789337
10,3024,0.1589338481426239,0.23077790439128876,0.1589338481426239
11,3299,0.1582115888595581,0.23135821521282196,0.1582115888595581
12,3574,0.15821270644664764,0.23241138458251953,0.15821270644664764
13,3849,0.15251381695270538,0.22465671598911285,0.15251381695270538
14,4124,0.16352733969688416,0.23805388808250427,0.16352733969688416
15,4399,0.154995858669281,0.22774212062358856,0.154995858669281
16,4674,0.14642475545406342,0.2180190235376358,0.14642475545406342
17,4949,0.14558571577072144,0.2161957323551178,0.14558571577072144
18,5224,0.15397723019123077,0.224069282412529,0.15397723019123077
19,5499,0.18082240223884583,0.255466490983963,0.18082240223884583
20,5774,0.18598918616771698,0.2578939199447632,0.18598918616771698
21,6049,0.1632174253463745,0.23415841162204742,0.1632174253463745
22,6324,0.15516714751720428,0.22704285383224487,0.15516714751720428
23,6599,0.149204283952713,0.21973221004009247,0.149204283952713
24,6874,0.14576312899589539,0.21761620044708252,0.14576312899589539
25,7149,0.1388281285762787,0.2081655114889145,0.1388281285762787
26,7424,0.13733139634132385,0.20756833255290985,0.13733139634132385
27,7699,0.13699698448181152,0.20673128962516785,0.13699698448181152
28,7974,0.13479486107826233,0.20452769100666046,0.13479486107826233
29,8249,0.13308343291282654,0.2002209722995758,0.13308343291282654
30,8524,0.1347365826368332,0.20244121551513672,0.1347365826368332
31,8799,0.1324717402458191,0.2005193680524826,0.1324717402458191
32,9074,0.12828145921230316,0.1964142918586731,0.12828145921230316
33,9349,0.12932173907756805,0.19811053574085236,0.12932173907756805
34,9624,0.13742154836654663,0.20685185492038727,0.13742154836654663
35,9899,0.1405133754014969,0.2081974595785141,0.1405133754014969
36,10174,0.13375142216682434,0.1997300535440445,0.13375142216682434
37,10449,0.12921617925167084,0.19407229125499725,0.12921617925167084
38,10724,0.12449657917022705,0.1890724152326584,0.12449657917022705
39,10999,0.1234225183725357,0.18948282301425934,0.1234225183725357
40,11274,0.121446892619133,0.1863952875137329,0.121446892619133
41,11549,0.11911304295063019,0.18220877647399902,0.11911304295063019
42,11824,0.12003036588430405,0.18434925377368927,0.12003036588430405
43,12099,0.11922689527273178,0.1814051866531372,0.11922689527273178
44,12374,0.11829110234975815,0.1819567084312439,0.11829110234975815
45,12649,0.12029137462377548,0.18365611135959625,0.12029137462377548
46,12924,0.11806067079305649,0.1806935966014862,0.11806067079305649
47,13199,0.15661713480949402,0.22100119292736053,0.15661713480949402
48,13474,0.1384226679801941,0.20148995518684387,0.1384226679801941
49,13749,0.12898309528827667,0.18961551785469055,0.12898309528827667
50,14024,0.12378468364477158,0.18319720029830933,0.12378468364477158
51,14299,0.12091996520757675,0.18004794418811798,0.12091996520757675
52,14574,0.1229437068104744,0.18536502122879028,0.1229437068104744
53,14849,0.12258683890104294,0.1830018162727356,0.12258683890104294
54,15124,0.11633710563182831,0.1749671995639801,0.11633710563182831
55,15399,0.11099207401275635,0.16824577748775482,0.11099207401275635
56,15674,0.11008067429065704,0.16611528396606445,0.11008067429065704
57,15949,0.11082705855369568,0.1666743904352188,0.11082705855369568
58,16224,0.10901310294866562,0.1651829183101654,0.10901310294866562
59,16499,0.11057758331298828,0.16686055064201355,0.11057758331298828
60,16774,0.10471632331609726,0.15895113348960876,0.10471632331609726
61,17049,0.11588224768638611,0.17290492355823517,0.11588224768638611
62,17324,0.11091834306716919,0.1672539860010147,0.11091834306716919
63,17599,0.10529376566410065,0.1599447876214981,0.10529376566410065
64,17874,0.10148679465055466,0.15583111345767975,0.10148679465055466
65,18149,0.10113464295864105,0.15366820991039276,0.10113464295864105
66,18424,0.12084487080574036,0.17931094765663147,0.12084487080574036
67,18699,0.10626393556594849,0.15843169391155243,0.10626393556594849
68,18974,0.10586807876825333,0.15776745975017548,0.10586807876825333
69,19249,0.09696711599826813,0.14809557795524597,0.09696711599826813
70,19524,0.09701717644929886,0.14872460067272186,0.09701717644929886
71,19799,0.09674394130706787,0.14790022373199463,0.09674394130706787
72,20074,0.16066467761993408,0.22882218658924103,0.16066467761993408
73,20349,0.15681183338165283,0.22872060537338257,0.15681183338165283
74,20624,0.14941003918647766,0.21764568984508514,0.14941003918647766
75,20899,0.13824781775474548,0.20147615671157837,0.13824781775474548
76,21174,0.1322241723537445,0.1938452273607254,0.1322241723537445
77,21449,0.14727100729942322,0.21452654898166656,0.14727100729942322
78,21724,0.12712335586547852,0.18729634582996368,0.12712335586547852
79,21999,0.12338492274284363,0.18046647310256958,0.12338492274284363
80,22274,0.12093284726142883,0.17778387665748596,0.12093284726142883
81,22549,0.12535589933395386,0.18260623514652252,0.12535589933395386
82,22824,0.12536706030368805,0.18200938403606415,0.12536706030368805
83,23099,0.11488564312458038,0.16732743382453918,0.11488564312458038
84,23374,0.11178474873304367,0.1648639291524887,0.11178474873304367
85,23649,0.12104851752519608,0.17871080338954926,0.12104851752519608
86,23924,0.11750238388776779,0.17558060586452484,0.11750238388776779
87,24199,0.11192424595355988,0.16424721479415894,0.11192424595355988
88,24474,0.12019813805818558,0.1746264547109604,0.12019813805818558
89,24749,0.11884182691574097,0.17546650767326355,0.11884182691574097
90,25024,0.11117798089981079,0.16349266469478607,0.11117798089981079
91,25299,0.10764890164136887,0.1590314656496048,0.10764890164136887
92,25574,0.10479948669672012,0.15520761907100677,0.10479948669672012
93,25849,0.10724041610956192,0.15923118591308594,0.10724041610956192
94,26124,0.1137557253241539,0.17106206715106964,0.1137557253241539
95,26399,0.11079682409763336,0.16404029726982117,0.11079682409763336
96,26674,0.10508720576763153,0.1551986038684845,0.10508720576763153
97,26949,0.10385873168706894,0.15344657003879547,0.10385873168706894
98,27224,0.10545216500759125,0.15558865666389465,0.10545216500759125
99,27499,0.11082662642002106,0.16179068386554718,0.11082662642002106
100,27774,0.12180588394403458,0.17742498219013214,0.12180588394403458
101,28049,0.128874272108078,0.18581825494766235,0.128874272108078
102,28324,0.1118771880865097,0.16455790400505066,0.1118771880865097
103,28599,0.10848289728164673,0.15953399240970612,0.10848289728164673
104,28874,0.113242007791996,0.16573280096054077,0.113242007791996
105,29149,0.11151404678821564,0.16566723585128784,0.11151404678821564
106,29424,0.11350982636213303,0.1644473820924759,0.11350982636213303
107,29699,0.10785879194736481,0.15774841606616974,0.10785879194736481
108,29974,0.10879036039113998,0.15823766589164734,0.10879036039113998
109,30249,0.11026053130626678,0.15951481461524963,0.11026053130626678
110,30524,0.11491528898477554,0.1669425517320633,0.11491528898477554
111,30799,0.10193557292222977,0.1510690599679947,0.10193557292222977
112,31074,0.14511141180992126,0.208059623837471,0.14511141180992126
113,31349,0.16075080633163452,0.23087163269519806,0.16075080633163452
114,31624,0.15009984374046326,0.21784193813800812,0.15009984374046326
115,31899,0.15356948971748352,0.22036458551883698,0.15356948971748352
116,32174,0.1737678050994873,0.246796116232872,0.1737678050994873
117,32449,0.25124871730804443,0.3322216868400574,0.25124871730804443
118,32724,0.24417808651924133,0.32542407512664795,0.24417808651924133
119,32999,0.21132338047027588,0.30266764760017395,0.21132338047027588
120,33274,0.21509696543216705,0.3005824089050293,0.21509696543216705
121,33549,0.2455260008573532,0.3357815742492676,0.2455260008573532
122,33824,0.23793452978134155,0.3280222415924072,0.23793452978134155
123,34099,0.2448047697544098,0.3334071636199951,0.2448047697544098
124,34374,0.24577811360359192,0.33175134658813477,0.24577811360359192
125,34649,0.24322861433029175,0.3313474655151367,0.24322861433029175
126,34924,0.24194113910198212,0.32887357473373413,0.24194113910198212
127,35199,0.24581125378608704,0.332093209028244,0.24581125378608704
128,35474,0.2436126470565796,0.3293985426425934,0.2436126470565796
129,35749,0.24289236962795258,0.328622043132782,0.24289236962795258
130,36024,0.2478179782629013,0.3342864513397217,0.2478179782629013
131,36299,0.2550835907459259,0.3423703908920288,0.2550835907459259
132,36574,0.19034609198570251,0.2678658664226532,0.19034609198570251
133,36849,0.1674986332654953,0.23782049119472504,0.1674986332654953
134,37124,0.15964826941490173,0.22976449131965637,0.15964826941490173
135,37399,0.1455080658197403,0.21043623983860016,0.1455080658197403
136,37674,0.14307814836502075,0.20773300528526306,0.14307814836502075
137,37949,0.13831105828285217,0.2019990086555481,0.13831105828285217
138,38224,0.16126254200935364,0.228781595826149,0.16126254200935364
139,38499,0.25869375467300415,0.34307411313056946,0.25869375467300415
140,38774,0.2387281209230423,0.3259202241897583,0.2387281209230423
141,39049,0.2644701600074768,0.3992472290992737,0.2644701600074768
142,39324,0.25283083319664,0.3367503881454468,0.25283083319664
143,39599,0.24938811361789703,0.3344234526157379,0.24938811361789703
144,39874,0.24904224276542664,0.3346395194530487,0.24904224276542664
145,40149,0.2534139156341553,0.33844542503356934,0.2534139156341553
146,40424,0.24957768619060516,0.3346966505050659,0.24957768619060516
147,40699,0.24688874185085297,0.3329635262489319,0.24688874185085297
148,40974,0.24685555696487427,0.33463597297668457,0.24685555696487427
149,41249,0.24497255682945251,0.33216750621795654,0.24497255682945251
150,41524,0.23969006538391113,0.32501018047332764,0.23969006538391113
151,41799,0.2323966771364212,0.3145657181739807,0.2323966771364212
152,42074,0.2290557324886322,0.3141593039035797,0.2290557324886322
153,42349,0.2575567960739136,0.3627139627933502,0.2575567960739136
154,42624,0.24704861640930176,0.33300429582595825,0.24704861640930176
155,42899,0.24686980247497559,0.33044907450675964,0.24686980247497559
156,43174,0.2252631038427353,0.3066396713256836,0.2252631038427353
157,43449,0.21681612730026245,0.30072832107543945,0.21681612730026245
158,43724,0.20674115419387817,0.2894243001937866,0.20674115419387817
159,43999,0.2023841291666031,0.28412896394729614,0.2023841291666031
160,44274,0.21386830508708954,0.2976774275302887,0.21386830508708954
161,44549,0.20387916266918182,0.2858107388019562,0.20387916266918182
162,44824,0.23069433867931366,0.31721362471580505,0.23069433867931366
163,45099,0.2615841031074524,0.3445103168487549,0.2615841031074524
164,45374,0.24840883910655975,0.3327348232269287,0.24840883910655975
165,45649,0.2431267648935318,0.32831165194511414,0.2431267648935318
166,45924,0.23894928395748138,0.320991575717926,0.23894928395748138
167,46199,0.24964873492717743,0.33298900723457336,0.24964873492717743
168,46474,0.2546812891960144,0.336769163608551,0.2546812891960144
169,46749,0.2523767650127411,0.33529630303382874,0.2523767650127411
170,47024,0.24853496253490448,0.33246397972106934,0.24853496253490448
171,47299,0.25437670946121216,0.3456812798976898,0.25437670946121216
172,47574,0.2536398470401764,0.3356309235095978,0.2536398470401764
173,47849,0.2543124854564667,0.3367924392223358,0.2543124854564667
