epoch,step,train_MAE,train_RMSE,train_Total_Loss
0,473,0.5727071166038513,0.7494918704032898,0.5727071166038513
1,947,0.49358803033828735,0.6428140997886658,0.49358803033828735
2,1421,0.45861172676086426,0.5935608744621277,0.45861172676086426
3,1895,0.425872802734375,0.5516576170921326,0.425872802734375
4,2369,0.40204349160194397,0.5222058296203613,0.40204349160194397
5,2843,0.3785862922668457,0.4919607639312744,0.3785862922668457
6,3317,0.3547535538673401,0.4632510840892792,0.3547535538673401
7,3791,0.3268634080886841,0.4252421259880066,0.3268634080886841
8,4265,0.30108121037483215,0.39113423228263855,0.30108121037483215
9,4739,0.2840045392513275,0.37000298500061035,0.2840045392513275
10,5213,0.2621973752975464,0.34067535400390625,0.2621973752975464
11,5687,0.24350079894065857,0.3171403110027313,0.24350079894065857
12,6161,0.22998246550559998,0.3003121316432953,0.22998246550559998
13,6635,0.22104626893997192,0.2887638211250305,0.22104626893997192
14,7109,0.2144944965839386,0.27912792563438416,0.2144944965839386
15,7583,0.20859026908874512,0.27054908871650696,0.20859026908874512
16,8057,0.2033732533454895,0.26292043924331665,0.2033732533454895
17,8531,0.19596709311008453,0.25293320417404175,0.19596709311008453
18,9005,0.18968284130096436,0.24456700682640076,0.18968284130096436
19,9479,0.1852007806301117,0.2388039380311966,0.1852007806301117
20,9953,0.182149276137352,0.23590737581253052,0.182149276137352
21,10427,0.1883084774017334,0.24471355974674225,0.1883084774017334
22,10901,0.18347327411174774,0.23706264793872833,0.18347327411174774
23,11375,0.173185333609581,0.22550848126411438,0.173185333609581
24,11849,0.16860252618789673,0.21865889430046082,0.16860252618789673
25,12323,0.16458700597286224,0.21430626511573792,0.16458700597286224
26,12797,0.16628257930278778,0.21621133387088776,0.16628257930278778
27,13271,0.16091330349445343,0.21040230989456177,0.16091330349445343
28,13745,0.15863192081451416,0.2058974653482437,0.15863192081451416
29,14219,0.15557239949703217,0.2034979909658432,0.15557239949703217
30,14693,0.15345121920108795,0.20062726736068726,0.15345121920108795
31,15167,0.1520150750875473,0.19913910329341888,0.1520150750875473
32,15641,0.15381185710430145,0.20053350925445557,0.15381185710430145
33,16115,0.15040671825408936,0.19643522799015045,0.15040671825408936
34,16589,0.14564694464206696,0.19075250625610352,0.14564694464206696
35,17063,0.14919830858707428,0.19457153975963593,0.14919830858707428
36,17537,0.1447644978761673,0.18959668278694153,0.1447644978761673
37,18011,0.14290986955165863,0.18678653240203857,0.14290986955165863
38,18485,0.13979606330394745,0.18334582448005676,0.13979606330394745
39,18959,0.14077456295490265,0.18308903276920319,0.14077456295490265
40,19433,0.13974958658218384,0.1827734410762787,0.13974958658218384
41,19907,0.1357920914888382,0.1778760850429535,0.1357920914888382
42,20381,0.13540126383304596,0.1779530644416809,0.13540126383304596
43,20855,0.13549719750881195,0.17743299901485443,0.13549719750881195
44,21329,0.13417135179042816,0.17533712089061737,0.13417135179042816
45,21803,0.13244108855724335,0.1742328703403473,0.13244108855724335
46,22277,0.1318410187959671,0.17354559898376465,0.1318410187959671
47,22751,0.1309267282485962,0.1710108518600464,0.1309267282485962
48,23225,0.1293822079896927,0.16956600546836853,0.1293822079896927
49,23699,0.1284634917974472,0.16965171694755554,0.1284634917974472
50,24173,0.1266278624534607,0.16736160218715668,0.1266278624534607
51,24647,0.12846210598945618,0.16851188242435455,0.12846210598945618
52,25121,0.12559764087200165,0.1658063530921936,0.12559764087200165
53,25595,0.12421604990959167,0.16417692601680756,0.12421604990959167
54,26069,0.12299244105815887,0.16223596036434174,0.12299244105815887
55,26543,0.12364192306995392,0.1627046912908554,0.12364192306995392
56,27017,0.12243828177452087,0.16126501560211182,0.12243828177452087
57,27491,0.12377703189849854,0.1626342386007309,0.12377703189849854
58,27965,0.12048890441656113,0.1592479646205902,0.12048890441656113
59,28439,0.11953280866146088,0.15790028870105743,0.11953280866146088
60,28913,0.11965426057577133,0.15874701738357544,0.11965426057577133
61,29387,0.11800210922956467,0.15630897879600525,0.11800210922956467
62,29861,0.11814960837364197,0.1562545895576477,0.11814960837364197
63,30335,0.11663899570703506,0.15429739654064178,0.11663899570703506
64,30809,0.115838423371315,0.15318012237548828,0.115838423371315
65,31283,0.11469715088605881,0.15243467688560486,0.11469715088605881
66,31757,0.1145026832818985,0.15169699490070343,0.1145026832818985
67,32231,0.11261986196041107,0.14851777255535126,0.11261986196041107
68,32705,0.11232740432024002,0.1484900861978531,0.11232740432024002
69,33179,0.11197258532047272,0.147213414311409,0.11197258532047272
70,33653,0.1091400682926178,0.14372719824314117,0.1091400682926178
71,34127,0.10753156989812851,0.14093203842639923,0.10753156989812851
72,34601,0.10739205777645111,0.14121873676776886,0.10739205777645111
73,35075,0.10593854635953903,0.13924813270568848,0.10593854635953903
74,35549,0.10705439746379852,0.14053334295749664,0.10705439746379852
75,36023,0.10442272573709488,0.1381910890340805,0.10442272573709488
76,36497,0.10477001219987869,0.1385326236486435,0.10477001219987869
77,36971,0.10263647884130478,0.13581760227680206,0.10263647884130478
78,37445,0.10268820077180862,0.13491372764110565,0.10268820077180862
79,37919,0.10087525099515915,0.133046492934227,0.10087525099515915
80,38393,0.10104229301214218,0.13363637030124664,0.10104229301214218
81,38867,0.10025802254676819,0.13272765278816223,0.10025802254676819
82,39341,0.09823315590620041,0.13054117560386658,0.09823315590620041
83,39815,0.09927117824554443,0.13133816421031952,0.09927117824554443
84,40289,0.10004738718271255,0.1324615627527237,0.10004738718271255
85,40763,0.09869996458292007,0.13102419674396515,0.09869996458292007
86,41237,0.0970180407166481,0.12888851761817932,0.0970180407166481
87,41711,0.09775582700967789,0.12923026084899902,0.09775582700967789
88,42185,0.09840264916419983,0.1300661861896515,0.09840264916419983
89,42659,0.09605848789215088,0.1280011683702469,0.09605848789215088
90,43133,0.09556792676448822,0.1267816126346588,0.09556792676448822
91,43607,0.09554580599069595,0.1271689087152481,0.09554580599069595
92,44081,0.09418363124132156,0.12504754960536957,0.09418363124132156
93,44555,0.09298552572727203,0.1245354637503624,0.09298552572727203
94,45029,0.09280075132846832,0.12442344427108765,0.09280075132846832
95,45503,0.0927693322300911,0.12389849871397018,0.0927693322300911
96,45977,0.0935802310705185,0.1247762143611908,0.0935802310705185
97,46451,0.0917530208826065,0.12210039794445038,0.0917530208826065
98,46925,0.09002524614334106,0.12046020478010178,0.09002524614334106
99,47399,0.09138768166303635,0.12175141274929047,0.09138768166303635
100,47873,0.09009920805692673,0.12071043998003006,0.09009920805692673
101,48347,0.09010040760040283,0.12041705846786499,0.09010040760040283
102,48821,0.09115920960903168,0.12179376929998398,0.09115920960903168
103,49295,0.08807286620140076,0.11809784173965454,0.08807286620140076
104,49769,0.09011579304933548,0.12065011262893677,0.09011579304933548
105,50243,0.08716075122356415,0.1170850470662117,0.08716075122356415
106,50717,0.08830763399600983,0.11884637922048569,0.08830763399600983
107,51191,0.0890892967581749,0.11945779621601105,0.0890892967581749
108,51665,0.0877978727221489,0.11780646443367004,0.0877978727221489
109,52139,0.08600156754255295,0.11629768460988998,0.08600156754255295
110,52613,0.08618422597646713,0.11623786389827728,0.08618422597646713
111,53087,0.0860825851559639,0.11594191193580627,0.0860825851559639
112,53561,0.08425512909889221,0.11382640153169632,0.08425512909889221
113,54035,0.08471938222646713,0.11420638114213943,0.08471938222646713
114,54509,0.08492819219827652,0.11464175581932068,0.08492819219827652
115,54983,0.08448798954486847,0.11373524367809296,0.08448798954486847
116,55457,0.08298248797655106,0.11317672580480576,0.08298248797655106
117,55931,0.08354216814041138,0.11325626820325851,0.08354216814041138
118,56405,0.08299210667610168,0.11166524887084961,0.08299210667610168
119,56879,0.08324048668146133,0.11273837834596634,0.08324048668146133
