epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss
0,274,,,,0.36779236793518066,0.44900211691856384,0.36779236793518066
1,549,,,,0.18591976165771484,0.2618985176086426,0.18591976165771484
2,824,,,,0.15206247568130493,0.22459927201271057,0.15206247568130493
3,1099,,,,0.1339024156332016,0.20518052577972412,0.1339024156332016
4,1374,,,,0.12675218284130096,0.19873520731925964,0.12675218284130096
5,1649,,,,0.12240630388259888,0.19319026172161102,0.12240630388259888
6,1924,,,,0.12162885069847107,0.1926577240228653,0.12162885069847107
7,2199,,,,0.1173340305685997,0.18898873031139374,0.1173340305685997
8,2474,,,,0.11450410634279251,0.18758901953697205,0.11450410634279251
9,2749,,,,0.11421313881874084,0.1847599446773529,0.11421313881874084
10,3024,,,,0.11243193596601486,0.1846800595521927,0.11243193596601486
11,3299,,,,0.11401953548192978,0.1846390664577484,0.11401953548192978
12,3574,,,,0.11160662770271301,0.18192000687122345,0.11160662770271301
13,3849,,,,0.10998274385929108,0.18039369583129883,0.10998274385929108
14,4124,,,,0.10829853266477585,0.17830485105514526,0.10829853266477585
15,4399,,,,0.10725133121013641,0.1737978309392929,0.10725133121013641
16,4674,,,,0.10703524202108383,0.1732182502746582,0.10703524202108383
17,4949,,,,0.10353600233793259,0.16983254253864288,0.10353600233793259
18,5224,,,,0.10227648168802261,0.166113942861557,0.10227648168802261
19,5499,,,,0.1003885269165039,0.1651780754327774,0.1003885269165039
20,5774,,,,0.09816014766693115,0.16159814596176147,0.09816014766693115
21,6049,,,,0.09943856298923492,0.16015437245368958,0.09943856298923492
22,6324,,,,0.09657607972621918,0.15860599279403687,0.09657607972621918
23,6599,,,,0.09569638222455978,0.15562903881072998,0.09569638222455978
24,6874,,,,0.09505858272314072,0.15475651621818542,0.09505858272314072
25,7149,,,,0.09306629747152328,0.15181754529476166,0.09306629747152328
26,7424,,,,0.09133518487215042,0.15034043788909912,0.09133518487215042
27,7699,,,,0.09204637259244919,0.14836455881595612,0.09204637259244919
28,7974,,,,0.09007363021373749,0.1473819613456726,0.09007363021373749
29,8249,,,,0.08993902802467346,0.14667107164859772,0.08993902802467346
30,8524,,,,0.08794357627630234,0.1445949226617813,0.08794357627630234
31,8799,,,,0.08703065663576126,0.14387047290802002,0.08703065663576126
32,9074,,,,0.08639697730541229,0.14140762388706207,0.08639697730541229
33,9349,,,,0.08474666625261307,0.13986487686634064,0.08474666625261307
34,9624,,,,0.08570520579814911,0.142544224858284,0.08570520579814911
35,9899,,,,0.08426429331302643,0.13818803429603577,0.08426429331302643
36,10174,,,,0.08229374140501022,0.1368536800146103,0.08229374140501022
37,10449,,,,0.08138404786586761,0.13561633229255676,0.08138404786586761
38,10724,,,,0.08033618330955505,0.13223493099212646,0.08033618330955505
39,10999,,,,0.07977405935525894,0.13309083878993988,0.07977405935525894
40,11274,,,,0.07941682636737823,0.13081221282482147,0.07941682636737823
41,11549,,,,0.0806075856089592,0.13387249410152435,0.0806075856089592
42,11824,,,,0.07890049368143082,0.13121606409549713,0.07890049368143082
43,12099,,,,0.07803639769554138,0.1284261792898178,0.07803639769554138
44,12374,,,,0.07711582630872726,0.12817175686359406,0.07711582630872726
45,12649,,,,0.07587114721536636,0.12727944552898407,0.07587114721536636
46,12924,,,,0.07478786259889603,0.12485870718955994,0.07478786259889603
47,13199,,,,0.07473979145288467,0.124656081199646,0.07473979145288467
48,13474,,,,0.0744907483458519,0.12284810841083527,0.0744907483458519
49,13749,,,,0.07363990694284439,0.12343965470790863,0.07363990694284439
50,14024,,,,0.07381721585988998,0.12279342859983444,0.07381721585988998
51,14299,,,,0.07310862094163895,0.12198417633771896,0.07310862094163895
52,14574,,,,0.07265959680080414,0.12209761887788773,0.07265959680080414
53,14849,,,,0.07156586647033691,0.12097056955099106,0.07156586647033691
54,15124,,,,0.07044616341590881,0.11892679333686829,0.07044616341590881
55,15399,,,,0.06967140734195709,0.11773175746202469,0.06967140734195709
56,15674,,,,0.07132848352193832,0.11895019561052322,0.07132848352193832
57,15949,,,,0.06982498615980148,0.1172638088464737,0.06982498615980148
58,16224,,,,0.06894520670175552,0.11639539152383804,0.06894520670175552
59,16499,,,,0.06856659799814224,0.11457506567239761,0.06856659799814224
60,16774,,,,0.06912902742624283,0.11683917790651321,0.06912902742624283
61,17049,,,,0.06791703402996063,0.1136835440993309,0.06791703402996063
62,17324,,,,0.06714577972888947,0.11259696632623672,0.06714577972888947
63,17599,,,,0.06723400950431824,0.11350177228450775,0.06723400950431824
64,17874,,,,0.0668136328458786,0.11165980994701385,0.0668136328458786
65,18149,,,,0.0664554014801979,0.11268138140439987,0.0664554014801979
66,18424,,,,0.06593029201030731,0.11212056875228882,0.06593029201030731
67,18699,,,,0.06414797157049179,0.10959470272064209,0.06414797157049179
68,18974,,,,0.0652678981423378,0.1108289435505867,0.0652678981423378
69,19249,,,,0.06382635980844498,0.10825704038143158,0.06382635980844498
70,19524,,,,0.06399273872375488,0.10924336314201355,0.06399273872375488
71,19799,,,,0.06527544558048248,0.10919799655675888,0.06527544558048248
72,20074,,,,0.06430257111787796,0.10738402605056763,0.06430257111787796
73,20349,,,,0.06329770386219025,0.10709118098020554,0.06329770386219025
74,20624,,,,0.06283635646104813,0.10655205696821213,0.06283635646104813
75,20899,,,,0.06179226562380791,0.1053742989897728,0.06179226562380791
76,21174,,,,0.06267820298671722,0.10685539245605469,0.06267820298671722
77,21449,,,,0.061067692935466766,0.10410710424184799,0.061067692935466766
78,21724,,,,0.06180654466152191,0.10400526225566864,0.06180654466152191
79,21999,,,,0.060245588421821594,0.10201846808195114,0.060245588421821594
80,22274,,,,0.06065932661294937,0.1031700074672699,0.06065932661294937
81,22549,,,,0.0601634681224823,0.10332532972097397,0.0601634681224823
82,22824,,,,0.0606650710105896,0.10294227302074432,0.0606650710105896
83,23099,,,,0.05878216028213501,0.09987762570381165,0.05878216028213501
84,23374,,,,0.05868060514330864,0.09975986927747726,0.05868060514330864
85,23649,,,,0.05796709656715393,0.09787710756063461,0.05796709656715393
86,23924,,,,0.05828561633825302,0.09982595592737198,0.05828561633825302
