Element,Coordinates
H,"[-12.262205962979637, 267.4332309478665, -217.543911441422, -104.19487674637068, -104.93268758730589, 125.61406220026582, 264.62505680308254, -418.8860100635451, -169.76780182086284, -120.24826317594636, -396.18785639308135, -46.482720698994164, -104.84600764023746, -146.22835700317904, -17.940949918387513, 42.722927573456644]"
He,"[-31.24052044062094, 59.17731179107477, 237.34481706614207, -64.8084302586239, -177.07687014743857, 194.8542004445929, 189.43047114281873, 109.70736249919204, 130.9517242634303, 227.56376529569175, 26.698714925663385, -73.46635002975152, 199.58422680749396, -408.75292132738093, 14.102687941661749, 417.3592292065269]"
Li,"[-85.16089636797643, -269.12214712983496, -90.22209341785755, -447.2839918770034, 34.650133755135634, -10.21003240157587, 15.614022610869604, 161.9022665799596, -5.730249060350864, 130.34552834078283, -315.9438260460746, -37.938491490255586, 113.29713860883739, -122.49453771128333, 46.598711264350925, 7.266377186265963]"
Be,"[-114.05663109968805, -80.34329355254923, -159.86112035917964, 104.89594170019397, -41.27436084810749, 15.360760795220589, -90.29569501221815, 206.5446297175193, -70.65769125081857, 67.41718095328386, -150.17680376688236, 184.64787939882305, 405.6181395430148, -256.5069415257295, -298.6986776235024, -59.11366571917509]"
B,"[-421.26428582117336, -142.36131757923215, -0.24455972522249103, 94.3715791628297, 182.13585735856296, -7.9208464647313015, 378.65764573944756, -72.9317547118345, -44.57776638153297, -196.01152669120037, -36.66299941829921, -167.62078832134281, 35.893811589603956, 19.582100084831914, -259.3922236064319, -333.3986897283166]"
C,"[-169.55841504827808, 9.78194350723844, 202.41414564801937, 47.09570805487942, -25.0310678859997, 417.15540981267526, 345.7631430022729, -179.341809985166, -34.25428257043657, 121.11351448376581, -182.31647978199857, -249.95139192408396, 99.52223511321999, -27.012748735868414, -334.7186640289707, 78.30277982189571]"
N,"[-118.52662314236184, 223.8262696452358, 90.17086703746325, -46.44639185128694, -243.6148661759045, 108.44894477525025, 232.9831770676839, 114.10891204225219, -28.853809865605974, -151.17255243720496, -1.8747962655562864, -217.73544579541175, 240.04625931428197, -454.7628329107624, -71.18309837947366, -289.63486535102675]"
O,"[-247.00353081579325, 151.4416289917129, 91.98218933733584, -60.649712026087556, -90.61406356162523, -108.44920518813308, 490.73955036890266, -232.68527313755794, 237.72410544708086, 44.552050302857744, 174.37789388443971, -114.27057078272753, -203.43013764062104, 113.49138650841113, 140.66495032599573, 226.29206533093432]"
F,"[-142.91029680286388, 182.8938358569417, -165.47602313151532, -211.14492784617536, -231.12557039401605, -209.93610654436748, 174.27226879323274, -181.65173411526493, -127.01041986510839, 35.15775778089721, 171.0854920897683, -288.50966666630467, 24.482843489221622, -269.1158881616202, -308.2754594079546, 229.16912793591092]"
Ne,"[-322.29136244724896, 189.6165518863134, 71.38384908196322, -40.89701294006643, -189.31904596463968, 49.11596280102961, 77.78375355381193, -332.49729811485395, -187.78917462962292, 308.04082844044194, 22.961052349469277, -54.89124172263054, 289.94465047026506, -196.555195810134, 251.8545150017141, 131.84999837651236]"
Na,"[-140.1006723369686, -127.38519405140276, -116.21384076118538, -523.5358961908619, 101.72411613550695, -14.214853169752864, 169.1036362786225, 117.17773378747653, 115.51065399321884, 164.57335451352242, -308.5735599442902, -157.91760248895426, 134.25435061650526, -65.42783648253167, 104.5756629459843, -29.580119540387795]"
Mg,"[217.41545136926322, -64.32495795415747, 36.98064760552167, 77.45886424256304, -1.6543777048334394, -17.48917013450564, -83.06128535572819, 74.97527782199647, -198.49522016545228, -49.5340772197992, 57.53464344991988, -21.39413362620903, -24.357559147770854, 105.2442966592809, 51.41879823517681, -8.897158005275902]"
Al,"[177.19115413771266, 48.147939167387285, -7.113308839457287, 68.20065952641436, 64.70289625424965, 34.94968614789978, -130.12018593662532, 66.73221199841265, -44.947629332898885, -34.17744347703369, 102.38559149792664, -48.2969580530243, -3.395114306712222, 156.34414681738366, 58.21279899532591, -21.636666593511887]"
Si,"[14.110325616253864, 142.1032769051396, -231.07890117290594, 109.02057261536223, 216.1336303494872, 76.88152797496863, -162.7980707275807, -191.38413120780453, 370.493367163805, -16.411892250767316, 98.19524662245709, -121.40213466916312, 233.5334672595911, -68.4470302450656, -39.67779766391388, -21.00313568154991]"
P,"[-111.71231078094638, -246.34791112210144, 4.3198267894946465, -121.78582483837566, -343.0469125094555, 73.08895180357767, 200.4936966211894, -247.15135032889714, 269.577050592286, -262.8473708947988, -35.907196400049365, 251.64922312435615, 242.14187537244297, -19.475324238660114, 33.84103382458012, -5.819361563017654]"
S,"[-237.3091044715758, -281.2534514086726, -212.02452857087175, 60.07168214504252, 194.11124493909102, -14.410155229534055, 6.162529734296352, -150.79436641844393, -23.07051237691818, 103.42050681391525, -53.80456865295458, 146.70820434075236, 0.5344483777713895, -14.001626260935923, -143.43828421431922, 408.34885210931026]"
Cl,"[-98.6173839966611, 119.61413746398604, 241.51924413179648, 228.89979413609532, 204.88332729099182, -124.11699459530288, 336.25974597107376, -111.68371536892435, 129.7672697680799, 110.49019767229396, -379.04144083649015, 190.82745773927792, 93.58773602705334, -226.1564376272297, 183.40364451274195, -33.15819889562154]"
Ar,"[-190.62312631663974, 319.09543935139664, -334.5130811129604, 6.4737808752815695, -134.37849649966472, -96.88774685116452, 463.85164053513563, -104.4060029304619, -82.57596346393218, 157.70013716329163, -56.30261413724057, 171.68834177622085, 92.10998088899255, 116.06876021180261, -205.10426518165883, -78.52754276913255]"
K,"[-106.05616520316096, -36.35989050118806, -168.9765651762467, -462.60009543472313, 164.90288570319964, 19.125165199721717, 126.2565155704583, 57.157725814903365, 232.43602166439848, 173.26990420908868, -226.30738549313207, -207.2992659960711, 139.28547754607624, -10.958330937377363, 117.68331069984214, -67.82342285538792]"
