Element,Coordinates
H,"[-54.86407538114311, -90.3800897494856, -6.3785075093264965, 55.091829879232094, -30.10248858674365, -17.666337942416796, 37.12344904087974, 93.6707859307822, 69.57857706198294, -33.01183838759306, 83.382431835158, -7.086040558410219, -7.513408968249336, -68.42751807452989, 65.91283163528458, -120.08638933000113, -92.72294544168268, -47.12251096612536, 91.7667869323617, -4.680190009525833, 31.036694672413656, -68.55589798276249, 96.92708606695804, -66.34496040736337, -121.82684881008025, -96.8428991357476, -0.18749345463131667, -15.776371698750902, 31.007584613540846, 49.59203096915928, 51.7346373084187, -72.61957327735581, 62.302665596046296, 39.3222330271326, -90.85462002473804, -111.35355305072649, -40.21695580066596, -77.60232605543666, 108.24971978943361, 84.18895755920484, -90.88525665467411, 2.504897696073772, -33.64562418730986, 4.852187481921661, 22.547240216814295, -72.08060873176952, -46.69607826919733, -146.2252444705825, -37.14561630276138, 79.16351731739357, 40.21921496235637, -87.43234050247706, -63.4766418517585, -85.68836100559095, 25.021736065435846, 140.70678047764864, -41.996987751650074, 32.049237627255884, -12.962294761788723, 83.82348069225564, 86.97238232869107, -154.87570844131432, -91.47581543379651, 160.76181053179457, -82.00089584636419, -7.472163032209579, -6.117674849526449, -72.66816998650118, 63.750069165517445, -22.538186382975322, -49.320000551324654, -35.49963548811935, 104.66289230048557, 125.98499200604917, 7.139335655462081, 138.02030015618556, -49.529529461041946, 50.0568150256078, 90.37218771889431, 32.35121174271376, 57.84748614294744, -5.4716046848346815, 47.19754703945871, -50.41882651312083, 8.215250968826942, 102.21891158258947, -140.07990259859605, 27.67399884034727, 25.001008194929195, 8.093950518242782, -5.954371891154362, -25.21593229604415, 41.36840995508331, 125.6511224680275, -37.03798747392073, -90.2124765839876, -70.65095513907033, 93.39049296347258, 15.542937852663492, 0.5377144223527656, -43.39620767361185, -53.277399220425075, -65.95443768659389, 31.071410705921657, 92.78054020206687, -82.0736424055716, 68.11360142111592, -63.21179527075287, -22.42885979031645, 113.25914503325637, 49.59000771196561, -21.67528108513223, -30.792116541164386, -30.130404488205713, 139.30113419203744, 55.654896009495296, 62.334342081241864, 16.292751934520105, -84.4401675897102, 157.8757901435234, 51.65559344913604, 1.9825108246473215, 50.15149365760494, -46.17447892712769, 28.738999189750892, 87.3564762590976, 28.27465169410708, 0.9824833936734758]"
He,"[-70.62892734360148, -52.00048515836675, -47.95940585783648, -90.95613326363282, 92.32774578028997, 28.005170655448634, 14.581691055152431, -57.25746211564249, -66.90214500305883, 25.028303722195744, -69.9805494325129, -83.25652255357495, -2.8993775371827737, -5.779259082319797, -11.40785259015887, -82.96467263861776, 21.401375145340324, -74.85225518917974, 31.992771568569744, -24.250308238116908, 128.43927910612229, -96.59195857267251, 82.40128334306425, -41.7218993267422, 54.21924458629839, -57.9938112857799, -74.94522260053041, -12.367375314186225, -72.2721159500565, 42.71422080836149, 22.455128171851378, 79.62071434970143, 110.31926747831963, 149.58000058182725, -30.419284014491275, -129.38165638589058, -2.9702066506334237, -37.63069571954345, -45.218232352675045, -114.06280286002423, 35.34895225146124, 157.12322194183227, 37.21489339119523, 43.677483083774575, 11.223147227019869, -108.47881371710882, -53.38370671213387, 18.187063932784294, -82.27401632099969, -114.67046005368321, 15.606875531721004, -38.916388062292775, -1.1582652150138824, 26.739417958997777, 97.74320997812026, -6.246463743379689, -85.77782504680266, 9.306981615093369, 42.632338582546446, 39.75794285776507, -115.97676134473751, -106.466983545889, 36.302327581988706, 145.18901550436888, -94.6603064362268, -108.5660089624564, 86.64469793712895, -23.24157032651042, -45.56032819909848, -22.443471431340523, -47.28309727257811, -91.09098899564259, 116.07213941784255, 34.46784176229636, 117.27835264113999, 86.90392284760114, 39.57008352754661, -63.4698101628583, -32.618786611734215, -135.02023858957602, 54.69003663144837, 65.11597078113007, 109.13444974625223, 86.32971074851277, 43.6028884893689, 20.688747647996625, -58.76808291799465, 134.12637589298538, 83.1811490318573, -75.57907456141491, 79.41817628711848, 4.102315732719571, 22.46771617674253, -50.646498472842666, -40.796286108889376, -9.049777301038082, 6.281769309820637, -42.05789804178329, 17.167427933561044, -12.111344740350635, 79.8593877248409, 26.264588377628943, -36.43449754483313, 114.70634242946991, 115.91972013028823, -84.78956909171404, -16.079971389711258, 123.04361759594342, -66.47290115130103, 117.71242843951443, 68.5756206774034, 23.854078994506814, -12.116678282534954, -43.26471919747656, -81.19436228291916, 78.08991556780684, -7.791545153017841, -93.09541090967139, -92.98608238951309, 50.40902826772047, -43.58338199497311, 46.06651069803127, 75.97370669949746, -11.321772198825757, -48.635812307453165, -0.9112181801486012, 46.31468118228374, -78.53720482867443]"
Li,"[-66.02812924236562, 14.44644589598726, -53.97703590263159, -128.78949293884924, -109.60935659138664, -44.72895066825887, 20.739978928662154, -1.3673277759431763, 7.41721859797745, -147.44538574229853, 27.03958461298927, 1.6472453478245663, -3.881111994171173, -115.27293439776975, 5.820866527208752, 44.94897501604172, -40.03826494545098, -1.5089885770761393, 69.58375822274655, -43.74465083050444, -38.43849362400891, -2.811771606956221, 39.73952300868965, 26.973639671067442, -5.538990197784971, -53.86167543581986, 31.216631310074582, -57.804189402822395, 89.36125928130309, 57.99185557077596, 89.51749213251419, 128.88281126291426, -23.177689581577585, 81.54533371021625, -43.76074827790488, 90.74667061725496, 57.46876571242899, 89.52946830618659, 134.99970783903825, -6.222756785051271, -114.97993002869292, 39.70530258939373, -44.82740699167092, 66.17411287712723, 2.3696425758491597, 46.75764625848644, -33.92371518078475, 24.173315549104743, 62.275931452089964, 16.27753973815892, 39.358579024966524, 117.80960005687591, -42.125654114416335, -57.38010742281639, -49.31849935315715, 3.7008251717378933, 36.53714340512275, 6.239135818806515, 12.804460491272444, -53.34994794545023, -53.03187126473181, -35.733999102068886, -3.4388405346646365, 1.8154410600806439, -71.23407815163733, 74.33174002299393, 12.602815144058301, 49.35331204914101, 59.7704873842206, 63.47010620572133, -1.3017842493468244, 64.33337001186186, -87.52151426807593, 4.9174330240412205, 38.66726256533985, 31.801468900233882, 113.86972536652462, -51.132549529201796, 44.607403323302755, -52.54747908079572, 6.917350836153713, 41.954905601200856, 31.105822836808777, 15.294215548556982, -64.0802922446203, 7.70940726653888, -5.556707349991655, 70.4364479958454, 90.36302800965137, -50.59919059983485, -95.6947766098632, 0.40355444300435334, 99.45302030413289, -75.97160246050687, -8.62282951095885, -9.99727018639111, -67.36815169633486, 57.874540777876106, 50.09745712444935, 133.30608622716906, -21.187738519091965, -30.719403114960542, 77.83370717670579, -81.80736532761614, 11.167466341864245, -37.47252378010353, 63.263666587662144, 70.25252103672392, -97.43872701964197, 153.57564906978433, 49.97409310086868, 22.658212917113147, -19.742011616127822, -50.36058732965074, 6.928440648225491, 45.834891377277266, -11.439475125752562, 10.635800354819533, -3.0330788085301017, -65.42653969641343, 7.113636767048389, -15.062108006984898, -9.867364780637605, -8.252890692712041, -89.46391898843106, -46.51405211101473, 10.159886473447807, -116.03763688375855]"
Be,"[-21.03108131028168, -43.673623699090875, 8.519954882745997, -37.41727657921929, -86.44645271352233, 57.531907616714214, -15.542825883625042, 123.10593562739302, 13.223511650511636, -97.61817655223587, 79.31629188751096, -46.368075879005524, 61.80172572457074, -43.04954870084142, -65.10440584069978, 61.68517199213982, 44.76658376869151, -85.62064488293524, 98.93530583268534, -58.37391668414827, 94.32295439734864, 30.370594007161053, -72.08671389141108, 66.34180523386674, 61.91551366357656, -47.53135703950161, 64.21611673485583, -47.67823897166314, -73.90260714085555, -21.674845021106304, -70.11567850404037, 34.732759853677166, 29.976501828942283, -32.38918047932337, 10.507129971820763, -15.953234932716368, -77.33898912853891, -61.12948301658725, -36.475617758454575, -98.8589593377321, -67.10142546118063, -26.588074055850136, 74.6757724091022, -36.20750810187738, -85.95863311880015, -62.90625010191089, -40.078885645536054, -41.01077615796552, 153.44759469063254, -5.921359187611785, -1.620865434139452, -31.96301674696814, 107.68475270744783, 39.357047236669786, -62.64014408249945, -19.25072365891381, -62.71706261202391, -32.613577211839946, -35.81624950796348, 15.838748220355674, 1.1663031095730794, 30.501833761879958, -90.1179864506654, 79.31425800308901, 5.752763284835992, 33.921795758884855, 56.01637583213122, 13.237422823732718, 6.33901834701465, 57.67846472722737, -54.82783702704991, 99.90035870379006, -52.14435965604952, 8.974800498716382, -45.36119498866547, -33.449896671770354, 75.28222861812992, -22.220361738327476, 63.58301839868315, -94.00463651280616, 53.126896205276125, 102.92167506272644, -97.91904784666974, -20.081971581533566, 102.40394293291577, 120.55458756102345, -13.90491063484146, 54.434401927707604, -27.40864391385762, 22.344252060643235, 36.11795113610055, -7.451558116445523, -22.04353976306955, -91.43143772197672, -90.2336519091982, 58.460949000011155, 60.79887759923463, 101.65972606866278, -19.212007242782615, 24.435260082555384, 4.865398948556771, -37.74962167568464, 86.868460314882, 45.51410347573893, 69.60949821858071, 10.486848316596147, 126.11675865607556, 30.86011535443228, -11.143457301346995, 60.8274422509979, -29.215309182061024, -66.75610677353893, -35.42933686739491, 63.65308232757281, 4.552049142910762, -47.16702608962404, -12.736620033796836, -3.2715588351824154, -134.1348170531791, 93.85978283090986, 112.84088162349279, 21.61893445150206, 89.19604911075226, -2.096392453413107, 47.5766528870561, -30.69235050527546, 96.84519500230782, -111.20143717894031]"
B,"[-122.09706050657822, -9.58118820986217, 33.38029091700383, -40.813744205131556, -81.65223611999052, -12.800566371557684, 12.01543435617582, 16.420625458279183, -51.281258532783006, -32.60491148402958, -110.00689659764099, -82.63629954869492, 15.155370849933611, -38.27572267332601, 76.37319240598053, -24.250506380060475, 70.02549619391058, -11.15491298714533, 157.17919237840457, -17.360416850749942, -28.157007774967923, -117.4943636895988, -16.134540000243916, 79.16661283624182, -16.264552993862214, -115.42710796054263, 44.953477808599594, -72.08822786318156, -117.53503822967821, 54.28403525006403, 40.1883780004251, 82.30934039176088, 82.49702576916128, -28.436846514765026, 24.068387088208716, -43.88126064670772, 79.64856751500764, -63.68169162354474, -19.60306731646626, -43.41333770733174, -57.35980452666774, 90.6265164809453, 24.675301711228414, 26.151032668256164, -40.16502078854731, 87.00775954248164, 52.70403186129889, -87.39488756285171, -10.009422510028008, 29.448033868468677, -51.098587571120184, 38.46573435570026, -8.7829943206358, -5.577712836419161, 14.493069160988796, 19.81193949445565, 111.65073486445208, -42.653112964675024, 53.672920229276855, -95.09194019793544, -21.312583185231098, -176.18723584029178, -117.21527532307515, 85.80152994797427, -11.860630400924627, -99.5468577821761, -53.06921054861049, -67.60946122470907, 114.17472876049703, -61.625335791613125, 19.061539818453223, 2.022722690270574, 111.83475021515322, 137.9520327344662, 72.70205684027988, 36.19939832678623, 12.090551188188085, 40.01547445766165, -14.63651516865689, 40.36113283857902, 0.2269346349640644, 39.94533001694785, -57.85362635606931, -88.7326948614237, 55.84157937730189, -97.34152988152438, -56.15953940734125, 143.5076051586062, 24.421608910622226, 15.713849274210723, 11.061154397744293, -70.17913966754242, -83.68807195334128, 102.35193662335429, 11.909008698881197, 45.53884478104096, 47.20329298482773, -69.2393680717259, -20.52724931221534, -27.740588496079646, 154.16382926477127, -47.49460169279741, 55.02886383789571, -127.37097516613426, -5.877635823550455, -39.02625857416827, 39.83238369838569, 44.924673933069236, 89.74453683739328, -42.43611482192703, 148.11138945717676, 57.5124093514934, 37.527733309447164, 18.945755161974606, 103.99835865147796, -55.48204388076301, -55.556556233463304, -162.178512203222, -144.07241492765124, 58.897826877732165, 23.131070701243267, -107.3994640701965, 90.23991287914815, -91.35759424916834, -31.34290808361489, -67.32455675039373, -8.298084559893578, 25.230296165586008]"
C,"[8.634242555426745, -84.77963828959554, -109.49097327778026, -63.412206176866114, -44.54102240524776, -110.7430076405103, -2.428387902228653, -26.581089870791736, 88.06631431718384, -29.107232274693676, 73.09123008508662, -98.69668390127711, -31.986246260413875, -138.64084184882608, 121.98661650271328, 4.676871759121714, 25.27557099564588, -78.92674327066716, 120.38673242967934, 13.56242673678707, 42.6310669559727, -71.8340384634942, -66.06870378360955, -25.82420459878707, -127.49159325884602, 91.59229401745667, -85.85695380750509, 67.99794631010724, -0.8037318291832847, -67.92338412723505, -36.12134188434957, 15.693128662074303, -97.67086462202346, 75.43490008895994, -81.63018958391778, -57.757118810974745, 29.701740507667555, -90.47227939855665, 9.034330509350804, -130.93751827297484, -50.48145962862134, 165.14373696898423, 5.895592511070771, 12.84163017443792, -15.601212969067955, -4.955706554121153, 77.40561583969026, -53.796797524301645, 54.00345105349673, -2.2981217029089405, -96.03760175702122, 2.6717126003216167, -108.53408026506075, -66.04821071818182, 28.336080286687636, -13.494701210812893, -74.25123717694537, -142.46936632744095, -12.665082282265104, 49.7891833844763, 92.60075615760583, -114.53888943375638, -106.87089096296214, 146.91300561400823, -28.44569125434531, -47.37387752609836, 94.27797646423949, -14.78619434481355, 2.959503606806624, 83.01125385278517, -64.88690270514853, 33.769182442690834, 59.333338761087504, -28.03616854948211, 73.43471991625648, 132.628187905296, 36.310955558123226, -62.86021209458603, -93.50192968455426, -31.456910108567303, -91.56913767323383, -74.18694874358796, 59.20958051676529, -15.137831796752343, 53.804284289818376, 5.055632344935013, -115.8764286968048, 143.31799349805738, -41.90947083364112, -24.338640331475116, -56.68767692562731, 57.98724306713783, -108.08421836829692, -13.523139452406625, -66.0633729915998, 29.29873314849932, -11.822840444634164, -22.09656218650759, -110.52404162475568, 64.63178120630786, 44.86761764502041, 49.26991286203285, -55.06958957649022, -17.67889188521257, -8.209922793245529, -133.6866580068951, -26.451482008668425, -61.86980161562429, 58.437502027152284, -49.18581927210684, 24.28249748342191, -121.46048794873575, 46.083613958642495, 33.637053857671724, -50.12700979465927, 5.287806202963817, 91.37604586313877, -9.548052848412672, 4.709498913785701, -22.465604326084954, 60.51666249547233, -76.50313510156137, -33.52036660446657, -67.24631820618667, 36.97112161313248, -84.37071559779969, -20.360908139701664, -102.46371710010337]"
N,"[-77.31645837356699, -67.61944626419573, 64.86097572314124, 49.57136646244716, 86.16726194268495, 19.269413717860722, -64.8684648758959, -31.208693687715797, -71.9877419295055, -83.20927976033181, -77.02684573815756, -126.81972257925565, 79.08178184952277, -35.79266312833538, -87.51352564013433, -110.18832171954871, 103.82962712079295, 46.54948216967507, -6.874991071092892, -13.305481897981917, 29.43059684802575, -95.6687114611983, 126.34779671114158, -76.29780104825892, -110.69358490648747, 25.626285389288146, 7.65132272287399, 48.19940668535434, 41.32348510223065, 27.019072491404355, 58.23048026329749, -12.25781445706674, 23.21882912160569, -93.43669826826637, -2.482985027264205, -35.87763790112298, -26.945555985009676, -22.599871271266046, -61.87524202052135, 21.63581348683968, 8.224347466558674, 153.53604694965753, -33.4605586476785, -30.92781598656743, -144.76852572498774, 80.44972242448523, -2.5524983945216264, 17.777906867375407, 101.57117765232543, -45.66239312149401, 31.81238441445971, -77.19396817080936, -91.05505240036081, 26.210270671747537, 13.228973189685945, 165.27356202387477, 24.39513610924863, -90.61154016948507, -50.43247670643394, 14.061890802215148, 32.32958438964856, -85.7138829072803, -105.54933183320821, 64.29769370586118, -138.51196334609918, -68.78251628135382, -74.3869736151178, -57.11512326931917, 19.107296822583347, 105.224594843424, -68.41689203371995, 82.66803700126752, -9.928770284168023, -55.533060192676835, -25.25138511070784, 29.495123383405968, -98.910906553719, 96.39800347950604, -9.995631997688571, -85.58790952867543, -18.76146209561526, -68.32401350393997, -19.31200457185148, -1.5636293242656274, 66.141098518863, 25.66819545546935, -109.48964976561768, 136.57857987607656, -48.74746540647474, -47.40493677957137, -32.706071561020636, 47.68575373111095, 67.7988427216147, -57.65090983762042, -125.23215253586775, -36.23636977191344, -78.04860409046536, -14.76712761314074, -56.48088993923337, 71.00191937645181, 51.11186755200536, -29.532671910353685, 103.25932101147188, -17.712248935012486, -23.147610561886953, -79.72727374151978, 83.3620065803124, 89.08580419919129, -48.475650649005345, -28.016329228712582, 164.22824790321832, -106.50780817210764, 65.02764328557122, -30.939540256306294, -17.585647505149947, 119.64550491904096, -109.10196141851924, -55.48476347616632, -41.40071906661745, -35.913419762262365, 108.17238209244826, 28.51890567568022, 21.888537866381263, -46.67670164822041, -63.31740615286696, 100.31370972465584, 52.742718546690746, 13.169899366006932]"
O,"[-131.03823345714372, 15.996653693953956, 8.501694711602571, 51.22021494884579, -51.39136790373798, 90.56647171055458, -117.26202494963395, 21.263656336479496, 83.79062232893196, -49.18369881210719, -85.11121666517289, -95.92586079218096, 137.15662119547846, 8.575243893698898, 73.21992089377011, -147.58174305265624, 82.28903367423122, 8.151775159576802, 32.91930449468608, -74.13053255257219, -68.5699828231553, -50.83985781633493, -107.11635131862009, 47.37413404122956, -8.985392640497365, -58.43622466136861, 47.13118752455068, -61.141688286834516, -54.79446601524056, -104.30315443866276, 26.685197289201284, -41.12333714662293, -30.390339824444666, -39.384353975175664, -47.58480799595008, -24.884875717563872, 59.68586579466743, -41.87317367653615, 39.375769880949946, -9.362764035879072, 8.533312645701928, 180.7727206752558, -4.491429490628228, -93.10808047429897, -105.61364037535009, -37.66323588421423, 34.61068365128729, -80.78578864471366, 94.07772322977756, 35.451708979562355, -20.958768214308265, 55.4646929871242, 31.337692572347724, -15.300067328561916, -98.29472106962564, 123.64034590813593, -27.208089217301012, -46.49260943024947, 16.6836384060288, 53.82169512207547, 4.800553839803213, -158.41275784946873, 0.3663180558473336, 24.67093249667182, -49.07138739210764, -33.87448654020062, -22.224980908056445, -38.59745639814066, -84.92349911771137, -40.44066588834388, 58.4034584168844, -97.8199391877201, 26.765089809499038, 117.31232921559118, 95.01618861139633, 108.5212586720244, -1.4367235671176992, -49.08195959931129, -57.95610996336686, -125.06752166833907, -48.59428549251506, -101.05250000892705, 107.46139609719006, 84.59714124590197, 28.555312412748123, 23.62134972861792, 69.02487438043704, -10.72061417320233, 73.40591526328349, -74.91306011388203, -53.95914686034505, 24.655153363731287, -103.15874405115672, -71.02207359893377, -78.93187236230847, -88.1016869088336, -72.63896700436781, 5.818392865000779, 15.291289468897078, -40.115290077499424, 8.257143329738, 47.44834182968719, -23.20040452740871, 0.7825973745066275, -15.683729088977213, 44.79223398312046, -28.098359428735353, 111.56431098433463, -0.9068684417192149, 147.44852208289026, 19.251494784252284, -108.10873309116822, 52.50137488907669, -31.516891046154786, 107.9952631796961, -45.17519065266374, 72.00749396357926, -65.70776302032303, 16.591076205233023, 135.96298787221204, 28.772385636424307, -93.10620878035846, 40.35490836071242, 35.51877254276304, -45.307820168473214, 116.52662418124713, 23.79426876939344, -138.83749248136667]"
F,"[-9.773360003715961, 29.95842131311608, 11.298604734599989, 81.92184765070628, 27.210815304373213, 63.973647140560985, -88.39369658966837, 67.65623720415805, -25.32291661071923, 34.20349642513872, -90.12876391769213, -130.92687418932445, 46.469440175789735, -74.9499188770792, -39.20476580010544, 7.407134935652892, -113.65928577678253, -13.190068585835464, 71.17158858133872, -87.24004026030754, -1.358121299604234, 2.849798567083931, 59.888781561390275, 52.08291729455397, -143.41183243654692, 30.81886506542524, 19.450299869186086, 94.90651377372076, -72.6053336239458, -98.7798146403688, -93.61437008466953, 11.883504929868401, 62.44066982787795, 105.40626592151325, -82.51733533200898, -86.92560058419845, -1.2199071249061015, -135.62220762097763, 14.27306886514964, -143.6952409898255, 52.522563708097024, 111.92055062581154, 90.80748361859736, 26.035796826821326, -113.55145156935852, 88.72311900395162, -2.553464042170936, 74.54742115752124, 150.49706281839073, 79.34808974577578, 7.222335661050867, 47.22540768128939, 3.660328766163292, 3.952554479345775, 96.73036436174762, -64.45550019483252, 67.54567653128011, -57.583575739160786, 8.074268238589339, 3.4090003329933105, -117.35823360870661, -137.6280153124575, -14.334876977861326, 160.17451361833963, -37.61297964163596, 80.98703970323464, 47.17749251572043, 52.77461100377694, 34.038795218703164, 3.427850508044517, 118.15968707643097, -62.72993627903789, 57.92881650834667, 138.27174187378944, 1.7729522777560138, 122.62550252382748, -47.141155244273854, -6.858531357680887, -100.2500108659479, 46.35604324911495, -11.471186876596109, -130.95181589878658, 49.74415957448772, -42.977228186403785, -20.578321928855452, 51.518032593782415, -57.07655280579992, 93.78608960618473, -2.721861517480578, 37.10516944534418, -56.10057500823752, -74.68044940023253, 64.47321034960181, 72.13584934626162, -13.042167469493148, 9.217464409168, 42.85476190136586, -38.67009460917954, -22.59670233739837, -2.925397985375886, 0.7888006026121717, -123.23156112907868, 56.755255199653824, -37.78697157940377, 31.380363086815986, 55.691347665891826, 62.61143801653471, -65.22567889495302, -64.97648092497192, 108.3979262652998, 96.60146228704895, -15.319721693052763, -67.52835579232121, -75.25584746027977, -68.29454820743325, 66.94930981714258, 57.78667307147904, 64.96118189039944, -35.635534110557515, 9.027778105116155, 73.65467331146658, -27.00218545979355, 68.22754793735804, 31.039845048509573, -78.94236313776452, 64.36946038562466, 101.2192991780578, 4.525056336532978]"
Ne,"[98.35564780956412, 66.10969608581497, -146.82776745367056, -56.001919714300925, 4.760192709393062, -25.066803002868987, -30.533091277167955, -0.9833732665012904, -86.36642866215536, 31.918644213549264, 53.07404567948509, -109.61115557148997, -2.7600616974273735, -4.967350916844473, 60.06900233796082, 23.52227676004032, -81.44016731811979, 56.2759585705306, -30.387778780282268, -84.00528806932704, 131.99472702891532, -58.11327866235011, -1.5294057901361664, 24.538216456336347, 39.954251560798774, 90.84521797266385, 44.769395250909746, 55.079046555208436, -74.8972596489036, 41.20124407942488, -9.998294940980564, 84.4961675377192, 55.05125838168055, -89.02047483159328, 0.8841161718166248, -119.89011629076633, 9.403433250108424, -86.13055839934492, 25.85652397193574, -51.18484913179408, -81.55656960911796, 123.27376791090825, 68.44837850439393, 23.491824084177647, 29.944872326843647, -93.62049415597647, 64.33705747896467, -121.92368389867285, 126.85979303536577, -3.2411071240331917, 103.36715148921834, 84.31537989830431, -36.32580608959083, -77.43163835263627, -52.14495798351001, 165.14619340125205, -29.494274257251877, -34.447065444427125, -21.63817819928264, -81.06879816509006, -21.73168859841634, 57.91549749415239, -111.11833311112137, 47.169195552853786, -35.49556068608025, -52.619841849683574, -14.68206523754523, 17.923292953321972, 58.29490206597679, 8.335117339431836, 100.70219224755898, -38.87795182805555, -8.57282790179675, 24.926020133793127, 88.49726485838404, 153.61345001698072, -96.52804502702199, 10.680385327034369, 24.78496943250025, -0.13893966561879545, 17.038354388282816, -123.84439234976524, 87.86351897791525, 24.663577889474713, 103.64178359272275, 19.9999169147578, 3.740091917608291, 32.54267438746095, 23.37270912943334, 59.12395809385122, -96.73112270008724, -30.479551520340273, 0.139988587083947, 18.484955276439088, -111.16195760649762, -19.229049987393473, 34.34205366632422, 67.39902769971715, 34.59494630245215, -28.31360988019525, 70.22989506361623, 49.3631685865465, -29.15191583474611, 44.27195138830545, 84.32526281533859, -143.38253539093566, 6.980732685878327, 118.63416193718916, 110.19333709834652, 27.337164609693808, 147.9459097177443, 72.65679822809119, 4.27699709166763, -77.49367054588367, 44.71415603679797, 78.85958217770836, -77.38912013595115, 2.0208065303447804, 11.344549987082395, 122.12186122204216, 108.01312129482226, -120.93006720072803, -13.32627292180802, -22.677972162834454, -115.0734221643086, -36.48179146846557, 110.578168080922, 17.308631708281357]"
