epoch,step,train_MAE,train_RMSE,train_Total_Loss
0,274,0.23847071826457977,0.308184415102005,0.23847071826457977
1,549,0.1785692423582077,0.23672270774841309,0.1785692423582077
2,824,0.160631462931633,0.21636813879013062,0.160631462931633
3,1099,0.15377254784107208,0.20976513624191284,0.15377254784107208
4,1374,0.14817143976688385,0.20161612331867218,0.14817143976688385
5,1649,0.15842019021511078,0.21256594359874725,0.15842019021511078
6,1924,0.14566992223262787,0.19679148495197296,0.14566992223262787
7,2199,0.141725093126297,0.19205474853515625,0.141725093126297
8,2474,0.1418687105178833,0.1926189512014389,0.1418687105178833
9,2749,0.13425415754318237,0.18502989411354065,0.13425415754318237
10,3024,0.13253794610500336,0.18179024755954742,0.13253794610500336
11,3299,0.1328383833169937,0.18178518116474152,0.1328383833169937
12,3574,0.14133663475513458,0.19208189845085144,0.14133663475513458
13,3849,0.13009093701839447,0.18031661212444305,0.13009093701839447
14,4124,0.13134382665157318,0.18098559975624084,0.13134382665157318
15,4399,0.12781696021556854,0.17589262127876282,0.12781696021556854
16,4674,0.12314221262931824,0.17055439949035645,0.12314221262931824
17,4949,0.13287131488323212,0.1819107085466385,0.13287131488323212
18,5224,0.12835386395454407,0.17642338573932648,0.12835386395454407
19,5499,0.12496137619018555,0.17221055924892426,0.12496137619018555
20,5774,0.12060938775539398,0.16834835708141327,0.12060938775539398
21,6049,0.15056844055652618,0.20143340528011322,0.15056844055652618
22,6324,0.12887760996818542,0.1781454086303711,0.12887760996818542
23,6599,0.12583358585834503,0.17332768440246582,0.12583358585834503
24,6874,0.12729093432426453,0.17432263493537903,0.12729093432426453
25,7149,0.12300529330968857,0.1689320057630539,0.12300529330968857
26,7424,0.11768762767314911,0.16327053308486938,0.11768762767314911
27,7699,0.12016220390796661,0.16583769023418427,0.12016220390796661
28,7974,0.12249980121850967,0.16806690394878387,0.12249980121850967
29,8249,0.1183922067284584,0.16309821605682373,0.1183922067284584
30,8524,0.11406950652599335,0.15938414633274078,0.11406950652599335
31,8799,0.11569887399673462,0.15912356972694397,0.11569887399673462
32,9074,0.1131683960556984,0.15748456120491028,0.1131683960556984
33,9349,0.11005847901105881,0.15385600924491882,0.11005847901105881
34,9624,0.11135433614253998,0.15580998361110687,0.11135433614253998
35,9899,0.1181633248925209,0.16270971298217773,0.1181633248925209
36,10174,0.11083103716373444,0.15513557195663452,0.11083103716373444
37,10449,0.10834333300590515,0.15270906686782837,0.10834333300590515
38,10724,0.10790619254112244,0.15167707204818726,0.10790619254112244
39,10999,0.10610176622867584,0.14922666549682617,0.10610176622867584
40,11274,0.11101161688566208,0.15509672462940216,0.11101161688566208
41,11549,0.11088807880878448,0.15266624093055725,0.11088807880878448
42,11824,0.10622197389602661,0.14913389086723328,0.10622197389602661
43,12099,0.1088041216135025,0.15158239006996155,0.1088041216135025
44,12374,0.10758963972330093,0.14866310358047485,0.10758963972330093
45,12649,0.10566297173500061,0.14705148339271545,0.10566297173500061
46,12924,0.10494478046894073,0.14634032547473907,0.10494478791952133
47,13199,0.10995525121688843,0.1525420844554901,0.10995525121688843
48,13474,0.10564424097537994,0.14822590351104736,0.10564424097537994
49,13749,0.10812212526798248,0.15077781677246094,0.10812212526798248
50,14024,0.10409986972808838,0.14524149894714355,0.10409986972808838
51,14299,0.10800968110561371,0.15136918425559998,0.10800968110561371
52,14574,0.10706818103790283,0.14784151315689087,0.10706818103790283
53,14849,0.10424390435218811,0.1458166390657425,0.10424390435218811
