Element,Coordinates
Na,"[15.036457339151056, 187.92677119072852, 7.890456503575081, -107.13425725211134, -168.13042969743927, -85.55502549241059, -31.780961462837013, 100.30510975657432, 67.9107330641952, -47.31807115081212, -53.558303856795035, 19.570914825171336, -89.73480650908854, 63.6969276763698, -18.362965235758537, -126.13673349191455, -8.217633499461376, 55.95937358093742, 64.98507746875823, -60.486346377941146, -63.659258679987026, -10.271830653370655, -163.7837551571422, 125.82152571713105, 69.47937454454762, 29.07858383663172, -99.45172139849932, -8.679774525170268, -0.1925461977011873, -68.72630138263322, 50.84159364484281, 143.61804096494467, -67.03983461310996, 1.2357040384755582, 27.801824170518476, 131.35205736528175, 103.9517339166986, -146.02415837618855, 174.28751121306843, -111.20943201913876, -65.19860233883693, 125.46985882996492, 40.35443999472166, -111.93698332314214, -48.50020019422655, -17.437510066267812, 34.793449367622884, -60.921024090310816, -45.304106330913555, 61.43870834054441, 223.44675789754908, -112.74262270764005, 96.44264259119231, 76.76731729386798, -167.4029455534404, -152.72207331326425, -70.46528891944571, 119.40086547987018, 67.60194448008167, -23.879174338603, -167.60871499112082, 51.313108130992205, -20.558652816503074, 82.23579782510204]"
Mg,"[-46.01571534031236, -22.894534436779054, 7.7351559352907, -47.70695593782751, 27.598312091674014, 88.81575262856549, -19.579089442562637, -46.542590639735394, -51.283412212266384, 41.91069949297614, 105.19449743817252, -19.912865875238648, 46.48081202973766, 5.447716294969935, -1.3139435456091066, 18.6523352652955, 46.221539741802715, -40.14960312311164, 70.1766271376505, 45.61135188637623, 15.52443716267805, 86.66343730121946, 71.70051539631656, -12.953330553615583, -40.55187339094617, -34.92252093719955, 49.43697086487393, 0.10905983886830677, 15.32469426305758, -27.311941717975447, -40.00644843829458, 19.247687296114524, 7.088509904260427, -5.548986766092732, -8.623169873704134, -86.24873878308333, -5.630618374774833, 1.016266031924526, -15.230055140454509, 24.4511057226695, -2.595923956062478, 34.73640564760148, -43.286830604409744, 14.262936484199953, 24.640610692754844, -47.768147705925024, 7.739264811237534, 3.518654372921018, -9.882098639664317, -66.09050445330476, -39.1988098660541, -34.127796932799356, -58.73922042066027, -151.3463594492005, 13.959205569956335, -8.19416211342541, 46.069258231908364, -5.102216085811928, -24.735549051505163, 29.947061035809543, 45.63023291696127, -34.88913958923419, 36.240794396936174, -88.82280419613252]"
Al,"[-4.466461612617257, -11.454370535826518, 9.973773653234751, 3.592868426908419, 33.388947562436464, 59.02103698118102, -14.355858382554386, -24.800595765837226, -74.15475304445714, 55.76447706521779, 44.391442545472515, -30.80024797632118, -0.49658041296414707, 51.05895160652622, 14.18291457864983, 35.51942001519913, -5.016008305689052, -30.64306845919305, 36.02068119102034, -32.550722540935354, 24.942299181199882, 59.77209524139519, 35.4665747364398, -56.96661409329625, -11.321515825984921, -8.961368105591351, 28.6928514811082, -0.04397713302617964, 74.57231659734768, 3.276291402635006, -29.622290752532987, 20.312206323854664, -3.3343410513400484, 35.972378349444575, -5.423419753901755, -91.86147249102962, 37.42723200739584, 12.366044893299906, 3.8893838141498303, 45.47694474429915, 17.55588052338002, -34.514213716997055, -25.20837680432224, -30.996414589415664, -16.574784414084345, -15.119392506559146, 17.383300172827894, 28.993316249130427, -15.503140267291796, -73.97846932118395, -47.53612330611456, -33.26338682275715, -77.44366513604078, -124.33972230625959, 21.80387074937735, -3.542776258950732, 31.492190640297057, 8.315210713901129, -47.71821589087912, 45.44281276795914, 14.589699740222809, -61.85389338999229, 20.365585984955032, -94.45004805648416]"
Si,"[117.44691035689185, -41.68530745517851, -18.06598502323125, 147.09681583803277, -7.640828557608778, 18.604860043662658, 6.50176493217324, 32.798070850474325, 15.317327598561484, 54.90260824942188, -196.60609675347925, 18.30937482255274, -121.9941798995867, 59.3158155242081, -42.42721834335024, 69.87361746056418, -187.27588288894916, 3.322568228359051, -11.561185338368798, -182.07157673308237, -52.80792335307534, -57.50217028897512, 42.372593878126516, -163.95975806595763, 102.49059741069027, 100.84528475179495, -89.7036975253495, -44.32243463840957, 167.27702807980245, 67.61599664472993, -63.16038560251595, -24.80272824261593, -1.6417026564779669, 46.97062893061852, -28.544523284568832, -11.97658146516593, 82.14547228002239, 14.980559045998785, 25.060299328191913, -21.171388268832057, 43.47239770063245, -73.88859320421194, -54.23790080597251, -56.41992276861447, -71.95359066429484, 74.4439292110121, -7.676769660703529, 116.13595839511966, 36.74207614780735, -131.84310844700926, 29.813765076590858, -49.091771834599776, -8.119197845616656, 106.36507546435453, 69.98488827188038, 93.24650249896199, -36.60755432290656, 45.83458069980295, -29.903635978404573, 11.510686082862993, -97.61824650304813, -66.00358941526314, -171.31437381320174, 59.08068817543997]"
P,"[-1.2445701324983593, 80.03896734579324, -103.32012656454523, 82.84112694808154, 20.02564785046223, -143.13508686610857, 33.17588949209384, 185.8493198112574, 178.154944234311, -134.25522013094277, 62.88368969778042, 148.83926184495002, -3.2223523280958006, 9.38792400604381, -41.06490694576808, 101.31419155775684, 49.739664810048424, -23.74292297287816, 41.34709826504752, 59.942130973072764, -49.69674166046762, -91.93891394637141, 40.625766977954825, -95.98390128303167, 44.95680414457083, -91.47564807086013, 95.61076851823945, 0.06739480568150087, -85.7757857942049, 122.84134948163711, 72.0815650731947, 4.302836295393952, 116.7258507181134, 9.323029440954954, -19.0722665655716, 163.48757136182948, -65.5664241519677, -20.922334065448315, -95.41709981165005, -81.46016916756268, 145.32083665150142, 71.59509721120111, 31.618654250950854, 37.02075451921079, 129.30499320437846, 59.56452973113498, 196.3402921617842, 100.05783191139682, 75.20198085341436, 21.95215597756762, -42.842834724171304, 41.428852491573736, 108.81000858605329, 153.85219285970663, -92.3455785487273, 63.261039989251586, -37.3669429325919, 46.00869504027789, 228.73544887769873, -0.626603637863149, -139.47368146530428, -18.795165736497832, 14.535922292585933, 201.70320953214036]"
S,"[89.7947799994311, -45.720856777387894, 108.57884322284288, 54.9153196455606, -200.30749080553056, 2.4593512979934893, -22.312538248291506, 41.39066885000946, 39.726174428397286, -147.97128390498906, -105.4033106512626, 17.9124070546479, 49.83575087128828, -124.64627066770102, -45.95948236666067, -93.10079209690021, -48.370430801922495, 154.95210441122575, -180.2741813254003, 118.09481972963395, 69.76525549281797, -41.39179695575278, 16.296565752232457, 13.582768318813104, -17.56238434314597, 86.35486110165763, -158.59698537776774, 0.6573786273392433, -36.40766186353537, -23.765342061188505, 132.68420618218755, 53.957766487715496, 85.75118275751507, 35.5745343302181, -28.79637206379785, 87.36477469345748, -123.16373852641348, 1.6034006411070654, -88.42238935243559, 28.786360867283708, 144.40061828962348, 90.38283132460417, 15.967694183594533, -47.62365446672322, 82.67490256383572, -132.16437847138693, -7.232432042745019, 47.19561883669382, 119.47524214305903, -100.2893338817002, 107.45204745022247, -44.48471575771729, 82.7379661553778, -2.7760585259957056, 37.65658639755247, 87.23210174846238, 3.1538723224239043, -117.79232658036014, -59.87587057346342, -82.68634809102527, -46.78786355431467, 80.03274271460313, -127.62179191300349, 17.905915909549783]"
Cl,"[212.86469032445103, -74.67505248829505, -37.023010425235945, -46.81762504143629, 32.662150001017, 22.111542772787836, 98.89748453221027, -75.6237432571954, 165.33990309849108, -231.6847133674318, -82.7435442239247, 0.7716435249836494, 84.82903218554661, -25.25178795377265, -46.81844356379113, 46.46483987451828, -28.602621617645397, -114.60551545463301, -55.20104122399519, -17.919549217728065, -0.20708311452735043, 11.320640507497293, -105.08687101942074, 161.48570888241133, 35.45348552459048, 58.79753051390851, -96.92729749709336, 48.77859590935556, -104.23637896480903, 33.463554115583904, -82.12632337918433, 9.451697790751846, -170.5905205429654, 83.0844284504386, 140.47881518483337, 145.69319522934887, 55.16844617773707, 38.73324473865953, -48.723999145617555, -111.60242033266442, -33.54095207032728, 68.0501314706903, -139.2101912740487, 73.05981859331467, -125.63633672905536, 51.9010423524618, 21.320334303004422, -25.58389036472125, 85.86883907632547, 216.5954699621582, 12.013733432598176, 179.84134254308458, 126.15409616908208, 35.67924132534537, 167.32549266549265, -56.216544428878876, -129.43650399682687, -66.87085717535075, 12.801262574935649, 37.49616158950401, -103.23595531599159, 57.92866052485899, 53.74919058218763, 198.53683830460233]"
Ar,"[89.49037927320967, -101.658349205417, 94.07777053729205, -68.48941150846363, 103.37523159320186, -213.9152546178937, 75.11244372596569, 93.14619417074661, -72.977116194666, -67.68987489799613, -168.8173263242278, 111.20748447749834, 80.5991038250689, -81.59281914597679, 47.289240212496416, 24.04191701529497, -49.94541133614366, -48.32238631109046, 9.876009071048264, 78.47468867621104, 21.365849847486746, -90.28471219439065, -163.6650487171542, 97.75326594777495, 2.9699053290100106, 21.840892211171294, 59.47369874982526, -148.5845584703101, -74.54804716361576, -2.976101710866972, 67.51061721158776, -62.75060832064168, 28.18885001343742, -171.0386442299541, -57.82357457797006, 29.195454433185073, 103.15847204110494, -67.37067501734184, 124.94477813393534, -157.17165934732134, 53.665579263030274, 218.11407649612357, -123.73886339122339, -108.18100391368876, -51.68811391809898, 64.64408803424293, -58.15522436306571, 133.3018122015908, -33.741783652500494, 110.48565525144417, 149.7452947520292, 148.87762150562878, -20.745865428866193, 197.9749179791686, 53.126869778120586, 182.00422909058787, 22.730425613348718, 53.471341617759386, 67.38271611497774, -150.40303581676525, 62.07772784728167, 72.57250004457403, 83.00098588525975, -26.48879432786434]"
K,"[75.22953877930009, 185.78388440639617, -8.87039194451476, -99.16452738702046, -167.61730542003275, -104.81765244576496, -0.5989670769314841, 68.06651916405264, 7.028696066480041, 22.245767281680404, -95.40386287568168, -0.3482665482261176, -108.33076838612504, 46.57108277840643, -13.103818004497647, -58.58320404721951, -16.73938773353924, 67.86046453271636, 36.81748142301399, -106.8454856220033, -40.93551643661341, -29.71149007297669, -145.29766410965198, 70.12051779425984, 77.28846496304156, 70.47163624481918, -86.3358142489291, -5.871456469440848, 81.76976959236386, -47.69904486933733, 56.65372190966215, 145.7840981288029, -85.80473563015038, 43.28430919004552, 37.698182750355215, 117.98057580260445, 130.6570790594543, -137.1742826537507, 153.22626623447906, -117.53783230911084, -48.32533525947239, 45.89793845570272, 10.708429769242791, -121.37210149310607, -50.015555984706694, 26.735148565532857, 38.0735579200574, -41.2742500500424, -26.35598815628461, -8.34876724315981, 194.7499738827214, -100.29963521425854, 81.07047020885099, 93.3663400225725, -149.19279443884815, -135.19758868182487, -79.144411792801, 144.02186514209842, 67.48126215734476, -0.31660781074441263, -179.11121958071487, 40.21995332849606, -38.509220367460316, 59.17897592870114]"
Ca,"[-81.87349470448108, 53.26867425084195, 109.0263544154518, 92.63102925160973, -58.555282945236264, -76.61376473132867, 20.44640967285313, -81.70653353887265, -57.573261627012485, -0.07001354650349681, 90.44594313531303, -54.14717027075684, -13.351865353996535, -67.9340170081468, 179.9183659807283, 7.771895889061311, -16.138586760864502, 11.492642677311611, -45.763776629296025, -32.37137058437384, -9.976941270621774, -107.10735206461266, 42.50212362413009, 45.468346775954934, -15.96416543195612, -8.898865064946312, 22.763976841980913, 58.18538625093756, -69.51135760080433, -62.90930169302403, -65.90586874439283, -56.72952191014238, 22.77464369111275, -10.968733746379444, -64.21713410632307, -98.37730279303642, 4.131840031651024, 1.7532789594520561, -53.97364182799686, 6.648475127706102, -90.85453469703786, -145.189879115291, 79.39961753776902, 28.101458937645305, 87.99265250550448, 2.4110211466471867, -119.744727747454, -23.92992621277195, 11.96708894221269, 41.59903820475291, -125.1495526083108, 16.427131500871464, 14.286409752410616, -31.752298021836076, 8.962507183582128, -14.529117947371384, 21.064639685062655, 30.310838022512968, -32.147729741000724, 50.03999726244151, 43.926891922936065, -61.39335632730818, -54.300278027639486, -55.72268145791763]"
