Element,Coordinates
Sc,"[-46.36883777511994, 16.86071324118442, 63.29392502548258, 37.973334349280854, -10.352613718490844, -3.2663345313829346, 7.6138892374997065, -55.437318601452695, -72.47964577326096, 31.09615505035169, 85.89880908281496, -54.846472137247666, -5.252020855050606, -3.311659576316104, 112.17232885079433, 14.172258266799767, -3.796425476681656, -9.03770511195882, -2.3682851895365507, -18.4127727622113, 1.3863756428878404, -26.6975617200147, 43.16347194251321, 16.443609380438872, -0.6908134558192556, 7.25427952952283, 36.26700568714953, 47.737412983243566, -4.042863390439578, -40.17598712683948, -38.895961218772236, -32.157363407350154, 25.51057570930491, 18.242126828984944, -42.601878447065594, -98.5447015237624, 14.966047604555436, 7.708557200967759, -36.86225668953385, 18.80858751703834, -46.45085648249557, -92.95414175705471, 40.37148589733054, 7.857170497023384, 44.396624030385816, -4.7406115790173216, -58.48136046041827, -14.483924277750171, -9.044051928890216, -16.429827732096275, -98.60898830155298, -19.32632537982893, -24.997324423625262, -89.25649795014269, 16.381763587891594, -6.841303860429493, 22.99214779741065, 19.684974034021327, -37.70957174235775, 46.366691074981155, 43.100990813306495, -71.02946062497627, -0.5718196338029607, -91.47895969344377]"
Ti,"[-51.1358920444115, 1.2756464130534748, 48.415922979763494, 3.38857073694891, 13.79117716877275, 24.808474014237724, 1.0152235573758053, -48.770254179444066, -77.0993244832428, 31.86456071647987, 112.56866271629008, -57.6290820374829, 13.42806878923672, 13.177619514385137, 95.17801093874407, 5.920121060422952, 22.73551173794322, -16.52068997693711, 13.161115222066536, 14.471113973655351, 11.914840434287623, 8.890295053288376, 39.68793325934233, 28.310711037954164, -6.348397267258382, 1.179194414422957, 54.46862606586148, 52.113415316913915, -6.603654900418106, -39.80422221495454, -19.77445093656808, -27.58978153952928, 32.304615728764624, 23.323712660207562, -33.84816652159985, -98.102087072853, 3.2427011601483793, 13.95208385083422, -38.61426706598086, 29.566865529728236, -37.039367174947046, -65.18093978931078, 36.33668470964365, 13.014834708478185, 38.34681556482355, -17.337448904511383, -39.67967173438087, -27.552057061997377, -20.738903926932792, -17.2386366427524, -98.8499147328635, -23.734553994878354, -39.20968311104316, -123.63183306962472, 13.34107634435881, -9.351512323523123, 28.54100421662947, 5.288974718416676, -37.082227984521545, 41.043557701498365, 62.93997901348293, -67.95436231198191, 44.56563644130362, -113.713155989504]"
V,"[-48.613616432111066, -11.194335566388034, 33.44317221817643, -18.20790078761674, 32.92213578752201, 45.41792051669961, -5.394902239240676, -39.241839354365716, -76.40825653161072, 31.600751729409083, 119.39893071706871, -53.93920391663238, 25.75931083515115, 27.63584860214875, 71.59192016534554, 2.8016900441536694, 37.53876162958055, -22.938051150826652, 23.674953274136918, 32.254196690384084, 21.21093744504155, 37.67879277367658, 34.94458095758078, 25.628957024469194, -12.178624762485274, -6.485511607048405, 62.125503681907304, 47.25418645337856, -1.7529205179845628, -32.2742362679087, -6.805045846242567, -18.996451385583697, 32.37109124591334, 26.458663473684254, -23.304520600706784, -93.7967179774724, -2.848567038337037, 18.81998976451758, -34.79338190706767, 39.71848579107145, -21.789833891387918, -41.260515849244264, 27.196545912008595, 11.193147628182293, 27.400329950465, -25.686762680359774, -18.654351608530476, -28.68962309717205, -27.48963520326635, -20.617968755286434, -91.06939592335412, -24.76559534955585, -51.890417741940674, -142.6351376327062, 12.718774469521257, -9.83166743378824, 32.461143511655514, -6.819245061302939, -37.503202078007746, 36.130652000781936, 69.82137167366196, -62.340003953875375, 71.54121338615347, -122.15874713036547]"
Cr,"[-32.83328804774274, -20.952440420514403, 9.048618522859119, -36.661489519590155, 44.89063379815227, 72.29220498565363, -16.137792816289846, -27.6448771683937, -65.44409961220222, 37.7626708670985, 95.13162247173078, -32.61966024927712, 36.680311509580065, 38.1631151245881, 13.331209756103288, 12.577901434185843, 41.48122522234308, -35.54512927914126, 45.32198185659265, 32.05360932444741, 28.697750491440157, 78.48591860245834, 38.95663046943451, -10.71151456872353, -27.24370822083055, -24.859693840102217, 52.687681831421536, 14.560591742751011, 25.476768336471206, -12.841371825404519, -11.410961447984239, 11.69486955180797, 13.404185955977967, 19.35640372321401, -3.2630776674722766, -84.05274191022833, 1.6940577674661224, 14.031385146396909, -13.999198555581147, 44.733403765755156, 10.500073978618268, 2.2192157966983443, -12.986324569323735, -3.8515669933178396, 5.967891455570144, -35.384233742173514, 19.531838236323548, -2.873776969438382, -25.36575362993612, -46.6505606251887, -53.829501434720534, -28.136961109404993, -68.2099509400857, -150.60522257700325, 15.17783309782811, -10.777203215863043, 39.11643473175887, -13.868503725706965, -36.832473133666284, 32.13240688067287, 49.060839678771686, -46.35975043552761, 66.4409389113146, -106.33139381921431]"
Mn,"[-39.04775025683917, -15.09686352068198, 18.042491472907905, -26.544544288337086, 29.621509618731647, 62.310123410803335, -12.185019273987674, -37.816420874321715, -60.71425226169601, 36.59999797632833, 95.2687220486282, -32.56807835785519, 31.786548351867655, 20.0121476993721, 27.02617528774396, 13.500187025635608, 34.562983266259366, -31.297115470465503, 42.87860296520542, 27.94963694318399, 18.904501296059447, 59.98075503433347, 48.46757407361661, -4.221201124264282, -25.481664173919967, -20.90533948248371, 48.27447413350966, 16.870479013618056, 15.090455255117975, -22.308504723976167, -23.832709135311486, 4.246870816406499, 14.366583526976534, 10.862746408924945, -12.106734248000665, -84.99015536662866, 0.7440296177268978, 9.09253301041477, -18.92908122720158, 32.75019519272431, -4.693061859782988, -5.1003416297556745, -11.10842511912893, 5.086781400217768, 18.632457142298282, -32.59839818133751, 0.7723725389428615, -4.487734803577312, -17.801683192069245, -44.67006806745507, -56.99580263628834, -27.466227702175463, -55.522150191613306, -136.06439557282494, 14.897218369466268, -8.708064316475616, 37.20015419731375, -5.5899233254880265, -32.29330184047185, 32.665724116687656, 47.492802442132714, -46.02441824928918, 45.37548690090717, -96.3324598902781]"
Fe,"[-15.659087541378751, -31.4583614586547, -14.417533329651986, -57.33645132983779, 51.75063312147419, 97.9523530647782, -22.733962775943596, -18.674740010210204, -56.44824034300122, 47.77491029304388, 75.48358091245112, -19.150544730659355, 37.94143518186709, 47.684915049746856, -30.393910732533172, 18.80404857557489, 40.89505832581065, -41.39716247915358, 66.61046502667541, 32.019901741664015, 28.060041535885986, 108.25637567408008, 42.86952701000975, -31.78242418348828, -27.587710342888855, -24.792241517288925, 45.466165690106706, -5.530106720593754, 51.293949373050204, -2.5324489498189133, -11.800021935758247, 31.35936669891405, 2.263162806140243, 18.245830761970485, 8.951471393501084, -71.94184843125178, 7.374262980222537, 8.48388185122352, 1.6850677989761251, 39.29539892138976, 27.688834599271235, 38.07048022113021, -45.43975400502096, -10.934117963246775, -11.66224735913225, -38.90215008699663, 43.186633757396244, 10.689949091205865, -23.19702494616533, -73.27330603479521, -22.69718713411569, -38.27691958413996, -75.88183860079896, -151.49322779772456, 14.463517021160973, -7.812487052746862, 38.46239952036314, -12.634988012885245, -30.991275675349602, 26.32735774996529, 33.93300659965303, -35.500419391810546, 63.4182900512293, -94.95511808840962]"
Co,"[-14.610995762643338, -38.95696979268031, -29.22266447270054, -74.35364856710129, 62.55579502339376, 114.98100057862648, -31.13644361473803, -11.928853011605336, -45.234366368232884, 43.80912085446957, 70.19631786958695, -2.9150067659918486, 55.64818903394163, 48.48999683981818, -69.12914544735303, 20.453507512969782, 54.511489330411415, -51.11539342069418, 79.78320305273861, 46.14142698877991, 36.414513223025644, 138.15354268321457, 44.95993155794913, -47.853100882872575, -46.66841816356848, -47.43421104462043, 43.628999538140505, -26.84079199199208, 53.79534929900996, 8.548660836730422, -12.630132282447045, 50.645465665181355, -8.877291829710073, 6.749800539324926, 23.933276726203733, -63.94130988159681, 0.7104327338946327, 7.054031213914319, 11.816311814071712, 46.32930203052466, 48.90990829955409, 73.88351051859948, -68.68642473084508, -15.06861319776176, -20.249283490968786, -51.285038457837686, 68.85054580932355, 23.05389823200527, -22.60609972212906, -78.79723007374339, -0.2927019752896408, -33.59114253847538, -85.72057030843416, -160.70038218708083, 14.883085011990348, -10.91436975223744, 46.52971764077337, -25.010209414700448, -29.40091067604136, 20.913706690788015, 27.981318009451833, -18.890415043264156, 68.50250675833092, -83.82168287467813]"
Ni,"[-9.946617928053314, -38.526641588131696, -33.94606152464857, -79.31651405831705, 66.09240631292833, 116.01928172083825, -32.70500433247783, -5.191693681469866, -41.09065294199569, 41.178965545004615, 61.68420157043629, 2.933999512072653, 61.81763651176262, 52.92031638994466, -84.95710916955393, 19.764315470993253, 59.0703730386348, -54.626120661365725, 80.49080544258985, 48.55632593188035, 40.184920516217026, 146.7043975926657, 40.851764522042785, -54.32858466463881, -51.87535030922916, -54.64532551134931, 40.53087973081848, -34.56433317221302, 56.7000720570058, 15.840043073923825, -9.080821410138137, 58.86147488540152, -13.358064692289942, 3.8843178096915802, 31.822395197536807, -57.69810092934905, -0.43810007692993064, 5.51236998671821, 17.23557288906035, 48.94166443336055, 61.48332450761597, 84.6158953967922, -73.36239067421288, -21.691078162867775, -25.56061697103161, -53.279045943738105, 83.3747724593198, 28.424721840621576, -25.12381134359434, -78.48354948901594, 11.160728858910256, -31.971770209112634, -87.45974010499664, -160.51473906764727, 15.6086144034319, -14.120980629600286, 47.70542492457744, -30.79258913200873, -29.635459775299765, 18.536100911994247, 21.344873480542276, -12.34995015650253, 70.80314435382618, -77.84370700960773]"
Cu,"[7.641591044258765, -33.377125327355024, -54.47231206023283, -100.26410222992946, 87.51694303871251, 110.50865937592798, -41.61196319696312, 31.09229034850408, -25.96947016898473, 21.028007418455534, 29.483188940442446, 26.954522279265642, 89.45400141405638, 77.76933698223827, -147.56209665459406, 12.066719935209425, 85.0483250071422, -65.6316216422126, 72.71808080477423, 60.858508377908024, 67.54322770609885, 183.67078936399457, 4.5653080222619025, -78.15925398586533, -79.02602565679014, -93.64035639724109, 31.036957054739094, -64.72558685750333, 62.46249336097651, 51.823191999489694, 19.97621472388528, 96.99414402036064, -34.46661523027908, -1.3381087217632268, 70.82979844253715, -26.808772389373228, -6.642288182861191, 5.067856197474726, 42.282452332460835, 73.57954397454556, 119.33630304262569, 123.77713109307405, -81.95219947164735, -55.2160504463846, -53.993770678760214, -63.308449912532886, 150.74957506587737, 46.5998732514823, -39.275789289170994, -59.14110397841228, 54.85301522028045, -14.005568543149172, -100.47064171257003, -160.7376713372778, 12.054084317085684, -33.607731694828516, 52.9547343843592, -61.86079306830681, -32.99473433254112, 7.893905226570441, -2.603530532739717, 18.615447640309103, 99.02902032196647, -56.885059653172384]"
Zn,"[-18.89662925235489, -51.021560407948975, -41.33860064122605, -101.08364675422935, 58.88993803465453, 140.91540236950485, -34.13703936497612, -18.095835137103798, -31.183232438304874, 47.35485706663746, 82.09733841698775, 5.491292657479733, 66.45794312857677, 33.565471274145196, -91.07577110933207, 18.494812767982026, 65.75788986664858, -54.6754124984164, 105.44714035500989, 72.06287132821566, 24.652877675107707, 155.83641706066618, 66.67593128026493, -39.038468213004116, -47.502438130566155, -44.73336500363321, 46.67019307012027, -32.04400192559203, 47.1694281172857, -2.2478285038426717, -19.499331039020895, 53.49909613533005, -5.6030959045529976, -6.901488834677805, 22.11575424763507, -55.584710235549935, -10.959153628312894, -1.041523789453072, 8.506883929107149, 26.94150975359427, 42.22076859571937, 115.04770662694041, -92.27434980420189, 3.4487763179194975, -10.538989369582238, -61.35948961081667, 68.09998070545733, 18.21088448387068, -16.038367484329108, -96.43412230250722, 16.11648877910644, -45.27966088927979, -76.48634939754156, -165.18367605771337, 12.34448814068077, -5.1389178371400535, 47.62594985639173, -22.824192118433654, -14.331921241715794, 11.510949696441378, 31.93119280877603, -7.994908695820629, 65.32939784656267, -75.00943284075007]"
Ga,"[70.22634214591764, -25.99106511965751, -6.723018274982953, 71.04276376383099, 21.26520303466625, 55.94862760093351, -4.006624660304917, -1.266957371540788, -54.54124728293043, 81.17524711359263, -80.18952635039282, -15.281426162453247, -65.89526694362291, 78.79207282674966, -20.66179015472086, 68.29566959469227, -102.28579765489715, -25.185970812647838, 25.15840575840609, -129.8846135416229, -9.000525318517862, 21.556889922165507, 46.17034719809157, -134.80352478682508, 48.349988330590215, 52.47783042618243, -26.72870674797809, -26.122347424370975, 161.99734797044997, 41.35974737455749, -53.842926191912134, 10.899186794885278, -9.644159858938643, 55.80534461683346, -13.865565896378772, -73.56125280572071, 81.72668560842024, 10.219324861613647, 22.952597081019714, 17.70250069171206, 43.590498366192065, -63.77544836346612, -55.44128071970665, -62.475279788379446, -59.21388281414938, 32.25225899348497, 22.676232905733585, 86.93452489680011, 3.532250201225613, -136.85569028607785, -11.450137203961015, -57.949806982107525, -64.57250747578856, -39.36959032775818, 53.066677407234614, 39.82262751530003, 2.888266487726629, 36.042673307894425, -51.33397526697785, 44.08687960853584, -51.93675719352897, -81.57429248902945, -75.66645762190052, -40.06753925870378]"
Ge,"[125.90216571698295, -40.80034408423376, -24.143829061800087, 143.70301275324115, -4.516881643753409, 16.40177154712735, 8.970881590019733, 34.129632431922715, 14.447875164364458, 59.35424799566775, -210.05716472965742, 19.1204075320434, -125.23621769770725, 64.4230616704734, -49.58407875129803, 71.88838196725136, -190.0056675767666, 2.9449986144776776, -13.609269228211314, -190.76438115694285, -52.084159983354304, -56.214574436875964, 34.54864606245276, -167.31519013477848, 103.83105703378799, 104.46333160194463, -92.57722437247311, -48.16316928637142, 176.88837722516578, 72.30416265571655, -60.29469121278582, -22.08616983779245, -8.104311059789417, 47.852191387686155, -23.52955510959818, -5.828252249717072, 88.36690396411481, 12.935448123083356, 31.87584916222533, -22.854489065669853, 47.03558292060771, -75.52722459744054, -58.23491962480514, -61.0532357564006, -82.6543953107831, 80.23681302968428, -1.2490474409342427, 117.98954385022192, 34.4307344750846, -132.05563311029707, 36.678352318247825, -47.44706563855371, -9.284720051186724, 116.278096515162, 69.48967409012708, 90.36526186658602, -39.24937815572838, 47.86735796675756, -29.402501005484403, 11.28440618278227, -103.77238176481715, -61.48628798054657, -171.9293605196036, 65.05901917790194]"
As,"[-4.699234544341197, 79.00705892729688, -86.41763451760255, 90.96735300783152, 7.594427263608921, -131.88465181483897, 26.575265742952645, 176.9106420296465, 163.1515842590041, -127.28157791785988, 73.1874212943778, 138.156048733769, -6.6299852227974005, 7.483586944217347, -27.86169965537745, 99.80414494280993, 42.16117351094339, -20.47303094442022, 43.73636845601287, 56.3171300636257, -47.365733889892454, -89.12870146968163, 53.28217967260304, -99.95402864133565, 46.59628469730865, -86.58814183272273, 90.28163197898118, 4.564199965438174, -78.32468264209857, 112.22607988715605, 61.58259450358108, 7.808755561601969, 118.9117873863342, 18.038918131225216, -26.69251251279601, 139.68565333537757, -61.56152640592726, -18.441202496426534, -98.08773379433981, -74.1177301952028, 138.02510865055075, 63.51917521458544, 32.23660515117405, 30.846026338717323, 137.2312579875336, 49.192044923300664, 179.93711937517227, 101.19696266933471, 77.44249740774072, 4.27104911002724, -49.37095041666411, 28.111294416388237, 100.94467352723319, 124.09122319314088, -85.97589596256324, 65.60218280518521, -32.67485017643306, 47.474313400355946, 212.48446546883204, 5.394430475183648, -133.83384957889223, -34.03572406298579, 5.884409316111924, 176.079380598297]"
Se,"[89.93657164315418, -46.31564448171548, 108.63545359305218, 54.454911277609845, -200.40098671253236, 1.8837162139086576, -22.033909495239946, 41.18856565634104, 39.47056331640653, -148.03494501361226, -105.38299913023833, 18.303783658474376, 50.516876450771825, -124.32077010522018, -45.99742791014975, -93.43565824131413, -48.43520000497199, 154.8951628150609, -180.48447990210366, 117.86080673106953, 70.2862962252595, -41.0597712424478, 15.737948878226975, 13.135957419180288, -17.3237284854664, 85.95561998883345, -158.4046816597531, 0.8910938628935127, -35.45376052921941, -23.982487926987247, 133.43626308475157, 53.02335203200322, 85.88978405055991, 36.110252607973784, -28.909435213998524, 87.11703140180255, -123.32861923492212, 1.1167411978379422, -88.55703478109206, 28.925042666151498, 144.20550901210464, 90.68684125977366, 16.32517418225188, -47.7515195641644, 82.88744644256964, -132.2207559759346, -7.159002765534951, 46.65194442430805, 119.36943987646274, -100.0323158197867, 107.51099214870023, -44.62872617676732, 82.49213786596908, -2.564489237357191, 38.21043805622242, 86.90405490133806, 2.742026366931966, -117.78028041859135, -59.43848484079579, -82.05516854169882, -46.89054023970793, 80.56948092647144, -127.67555185398136, 18.20838208820704]"
Br,"[212.49542060324717, -73.89343934392852, -37.11862579084113, -46.20809403570901, 34.03765484892885, 22.166527026432856, 99.08935609454502, -74.81732078911651, 165.3549729707663, -231.79742058498346, -82.72409657251698, -0.40458450856641764, 84.3790983283359, -26.00963979322646, -47.76831077429492, 46.37045755419304, -29.83971766838608, -115.66864368346029, -55.480921896267674, -17.279186829682697, -1.0534321176697523, 10.513212051213541, -105.17095526400506, 161.99492046255017, 34.83181774804711, 59.98020076258377, -97.91466142142902, 47.8222790939861, -104.60911688330715, 33.60915524069483, -82.43799642511277, 9.440710776131809, -170.7551770138484, 83.69098447336772, 140.60727733758918, 145.69176499866055, 54.81443159137031, 38.6018281173111, -48.904725480430564, -111.53523429880387, -32.584915002230225, 67.8927560322146, -139.25052288276413, 74.08821039493988, -125.56473297039967, 51.136679871760926, 21.218112293513745, -25.241509808522572, 86.25114104257796, 216.74525358969393, 12.651741461039904, 179.3182047355491, 125.59197846742907, 35.84232999617213, 167.00349395492177, -57.60589240710987, -128.97696606044735, -66.3350598222857, 13.437042891973995, 37.91476222024844, -102.68318035331681, 57.426075934537685, 54.20902262562786, 197.69210097216384]"
Kr,"[7.4638168199374, -1.1313037709134177, -99.89422262180274, 18.915575739108238, -142.70715386008084, 44.01997873644125, 52.9927198657404, 171.77925658427878, 6.858425675262912, 125.6135207475389, -40.80444091271025, 116.11063660692268, 38.686646559677165, -123.70643590771803, 26.236183643878945, 51.999550797986174, 22.360345713680694, -11.085066537358149, -186.74923492072628, 84.46562626475595, -69.34722690389317, -6.767984811117984, -87.15181810785342, 45.01530126128956, 73.27619426196152, -149.7346298587179, -32.73954908682855, -122.97033796121045, 134.5417571717936, 128.43207732626777, 59.22246639413852, -120.23892238037284, -78.53986171731158, -108.5461298618583, -21.337260785007206, 261.5062739826089, -45.258847520745356, -18.469227990750316, 85.38521647317339, -151.30312340017426, -7.056839888044576, 111.89274160919466, -17.592704360424605, 200.86843747678967, -164.1480895794083, -97.5616053323105, 2.5270661757429673, -10.269133382378497, -137.18645813942777, 127.53909475631917, -40.2287589037219, 62.22125650548644, 46.09373563146446, 222.07133580027997, 10.551197893960767, -106.77889665384097, 9.521362961974184, -123.74013809464743, -146.8527740918395, -105.13498925933438, -77.71903377463532, -19.96924094306476, -14.627645742409246, 65.9471072174392]"
Rb,"[108.93806424846024, 183.16925556303852, -28.97334298481762, -118.0872961511144, -161.12516715297951, -122.32815118173419, 22.395919897063497, 45.14995798679572, -28.023199562244507, 61.944329095497, -113.41618386600352, -10.026840759533684, -103.6952451943868, 22.45353734672567, -18.344198935207437, -20.878320522407304, 3.3589584335484, 77.86249357252359, 14.70672304996439, -111.2288882038957, -18.37829641638059, -36.230940067918674, -143.34012338072912, 52.378643416133706, 69.11171462912252, 87.6192318250713, -68.33813323134979, -3.561418958253421, 115.40272365824565, -35.74594681396501, 75.15050238942483, 148.3579120366488, -102.07159550205279, 61.93191989009878, 54.39902254229009, 125.55413233541778, 133.22632943685284, -131.03145165562216, 136.73138154819418, -122.6396039427988, -38.65262641225878, 7.915274746096061, -7.804467338625475, -116.00879939678404, -47.452112848768024, 52.715383404507136, 45.033211326540865, -43.872592036528914, -16.39967541510305, -34.2854612833016, 180.82282530994527, -76.97893377083733, 76.45869834772135, 111.29290177754635, -145.25562241495223, -131.10311346225808, -84.46602858988506, 150.6017060156658, 77.49223544778746, 6.197133482099872, -174.6678471692879, 54.01834209229831, -27.74467307290116, 49.903319884882386]"
Sr,"[-82.56155080649508, 54.43153254568932, 109.87713936846257, 94.48707355973437, -60.334460587051275, -79.01196443819086, 20.554405561298623, -82.09565993941139, -56.13863586322097, -1.394628656232514, 89.16452026152986, -53.12334305276864, -13.666009269467335, -70.40784193153952, 180.50347316842607, 7.746027114474544, -16.85316611662708, 12.243677059263502, -47.05923153775843, -33.16121549682143, -10.25912860360681, -109.35902985649575, 42.25330008580315, 45.34425848941838, -16.935613622077412, -10.074471088140115, 21.50037092303226, 57.314654874206184, -71.33612858889603, -63.03910070476374, -67.02262979743647, -56.67479025862611, 21.871772550170412, -12.404597659190598, -64.35149707028067, -97.48275540787452, 3.844626704733041, 1.3928468049288265, -53.76234796074441, 6.225818221219025, -91.64827619533415, -145.77608226520096, 79.62985681801628, 28.411172231436108, 88.86784881492585, 2.525570417831098, -121.1481701088567, -23.396142532241402, 13.128540406746577, 43.35540777450138, -124.55598479764626, 18.002946144921964, 15.596601358817482, -28.743076700491084, 8.567208270628885, -14.703521039331875, 20.951833662238933, 30.5652040975437, -31.705524959244144, 49.782677937519516, 43.02025908366022, -60.12643907709659, -56.987834466155206, -53.12036278790592]"
Y,"[-61.76834022215494, 29.39492764633608, 83.38844550895531, 54.70508418418686, -25.599336968974516, -28.710807060533128, 14.38338059486004, -66.60261901924115, -72.74399357086381, 21.299884580917592, 97.4501379231546, -61.393837363381884, -6.486515494306465, -23.012553339572033, 145.83095040821874, 9.00987815394194, -4.446590913290213, -2.346683777812135, -18.4831358338477, -18.402466323271884, -3.4832288208402646, -56.97356637412545, 43.83831585822196, 36.06027823876317, -2.214402317804774, 6.583966294890096, 37.269780487164326, 60.38420049535861, -30.55770065552769, -52.43747595192187, -44.808437913107966, -46.966997138660574, 31.19423787882114, 10.966209968106629, -53.63114027825481, -102.8242886155873, 9.19362497921245, 6.546370958788334, -48.55989722908694, 14.023227447697185, -65.79667599687069, -116.72555539203994, 62.21312968018012, 17.67397310634711, 63.79769374666858, -1.7434896917190141, -82.90951958726905, -24.96022767629204, -5.857924941409758, 5.845375481586953, -116.59230327272961, -10.13682058429626, -10.058568651689402, -76.6962509393832, 14.739103150530152, -10.20266864311276, 22.194085487876972, 22.811414083140342, -36.910991189761845, 48.92464408772835, 50.23310502286205, -73.25027811998066, -11.134002986979244, -88.53084027202136]"
Zr,"[-58.123736285584755, 19.333780099138398, 72.75405098835142, 36.71116570497565, -10.209831999627118, -13.350139831717586, 11.714903440230389, -58.54455111724224, -76.58440049982421, 23.628941499833505, 106.50620836025763, -65.00269075337067, -1.6279054384002625, -6.835788252513003, 136.68034550634783, 4.184782898033025, 5.732377706361737, -4.644496403408164, -11.931400544338798, -4.74549050904531, 1.6072158363392235, -39.032593441237836, 37.58691808882566, 42.01001199315851, 2.041005330882649, 10.82296863110181, 46.207993827115004, 65.4153907863807, -25.547149432954765, -49.80509767620339, -29.20610309459421, -46.46062815806561, 36.854832788734385, 19.89553878389664, -48.79387705512044, -100.11535918504634, 5.776929300975837, 11.460687255678941, -48.59111450285957, 19.650541242416036, -59.2462201916025, -105.39229089488482, 62.684635644181384, 17.761659682572557, 55.63754873578143, -4.44964572522389, -71.28017228773197, -32.99884569557802, -14.101820537496998, 3.6014793378020196, -116.43264075637892, -15.191523046016862, -17.950791709030273, -92.2489785119776, 13.39286106993183, -9.333502411802511, 21.588232650748626, 16.12057560240383, -36.850482289604194, 45.259958799172246, 59.765306622075855, -74.39128256667423, 16.48087164623603, -102.44665126622635]"
Nb,"[-47.92114093496462, -4.7658340267115005, 56.34382723785849, -0.757103407938823, 19.346358927891746, 6.832122914025615, 16.83203340153569, -35.462149642801016, -77.16780051171754, 19.183542704977153, 126.88635326819396, -81.32835146718722, 6.991863138489186, 27.369868544265106, 134.69054879142683, -20.42176295663946, 27.516765523716323, -2.9267838532654027, -11.341193381506752, 37.855965349625386, -0.5963135656660472, -25.588252569070182, 20.31897363407021, 85.78062401640564, 32.88965936923306, 43.921795259349715, 67.30916747158749, 98.3941764504682, -34.35657321904256, -51.01713959717784, 20.234208949198813, -70.83853853259718, 70.3186580950768, 40.404434895496856, -47.86132765824534, -80.13608744557921, -14.162998173845605, 22.900001647820392, -65.18848376678882, 16.18957689115859, -54.6527874628008, -88.94849515312974, 90.12840525609387, 30.380775028604752, 49.36721875690828, 0.15518709067243674, -57.27069702721536, -70.37811684109585, -37.554208473093205, 15.189913379733543, -123.74343197483267, -30.227366166368853, -9.855984396952259, -105.3180633527394, 13.483258044585659, -0.512882016153331, 8.502727760233038, -1.718685735100112, -28.62609356009888, 27.422807559188225, 89.08197901175555, -79.32055910350535, 83.18847246446884, -128.54030429252816]"
Mo,"[-13.019750932806815, -97.6835323791234, -150.6620132751464, 43.27037736950342, 9.871602734728127, 63.76055291619365, -129.94413264117003, 118.64701451623026, 115.64202283742128, -88.94733847861124, 27.78002094879505, 83.04518925189916, -179.02351935969557, -41.25437628966111, -16.078632649150652, -11.739266324668234, -89.45620061720778, 179.50112696569929, 15.303114899635307, 24.270662392639245, 65.73162046823505, 26.374079877819717, -120.2553600745878, -50.63826037866496, 39.97135037416882, -14.167671440348824, -33.24271540711274, -36.69335560405351, -24.039383680129827, 14.24441961259507, 90.35198582156043, 34.43734064746349, -23.83797892242458, 133.6116509270794, 1.3927542343434385, 105.54195882143152, -17.219548553235438, 134.67238428589607, 61.81348166608946, 111.44601218632683, -116.77806192020768, 61.760766602168005, -40.5826192517411, 69.88161175889626, -62.244835136514496, -39.22752558121215, -176.94556151780293, -34.051339073213235, 141.4177768048827, 49.99452167622502, 17.702977307488194, 95.61122087192078, -79.69310252673972, 107.23188885395425, -150.73193580913247, 138.16325104671853, -66.83185881492558, 35.75695827440609, 69.06691477854417, -85.2583595823681, 88.51300808135035, 51.22533596898047, 98.34969865405965, 6.762997378018359]"
Tc,"[-4.2856648500154035, -86.5438554256293, -116.29036148738963, -119.89153755390353, 124.39556333028544, 150.20744687405855, -71.79524141335396, 45.51669451653544, -14.257207544663002, 14.72008097513575, 69.22280282274798, 23.725206059200165, 26.266215343413727, 80.6968366824408, -120.69536566467261, 1.150909733631898, 65.58242961004987, -8.784761445257512, 80.78227657474092, 76.3029982391992, 85.38441688101103, 198.47899776445507, -49.1416036883883, -47.53361864774052, -50.61964361091488, -65.00781281957195, 52.19542884963472, -45.185565956900945, 54.82677506099523, 37.72831432452668, 65.8221936654521, 73.55124010572858, -32.54480002035415, 52.4435408940075, 62.592982229850264, -0.06394299132927635, -7.747352374133904, 57.60863029916364, 53.99512951457847, 106.32942789461211, 45.29413801688733, 121.54496530285209, -83.72364944303223, -4.173361632333641, -94.29509116739722, -62.16883726352624, 71.81640870552751, -6.041349722286078, -11.958812412213831, -27.11628852686236, 24.01712052098566, 17.499304104171827, -136.61646512093705, -132.144573254367, -39.81101824395133, 8.543037166137907, 27.40881105891268, -44.116633506762966, -9.871748072282903, -17.942127304240703, 70.03891632510597, 28.942796497931475, 180.35602954999376, -85.40097667344922]"
