epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss
0,119,,,,0.8958794474601746,1.6943998336791992,0.8958794474601746
1,239,,,,0.6100278496742249,1.358202576637268,0.6100278496742249
2,359,,,,0.5566173791885376,1.286312222480774,0.5566173791885376
3,479,,,,0.5441526174545288,1.2701605558395386,0.5441526174545288
4,599,,,,0.5490389466285706,1.296225905418396,0.5490389466285706
5,719,,,,0.5319963097572327,1.264391541481018,0.5319963097572327
6,839,,,,0.546479344367981,1.239453911781311,0.546479344367981
7,959,,,,0.5158900022506714,1.2471556663513184,0.5158900022506714
8,1079,,,,0.5055962204933167,1.227176308631897,0.5055962204933167
9,1199,,,,0.52754807472229,1.2614775896072388,0.52754807472229
10,1319,,,,0.5009968876838684,1.1918094158172607,0.5009968876838684
11,1439,,,,0.5062421560287476,1.1963586807250977,0.5062421560287476
12,1559,,,,0.5135279893875122,1.2390666007995605,0.5135279893875122
13,1679,,,,0.4992453455924988,1.230058193206787,0.4992453455924988
14,1799,,,,0.4902171492576599,1.2007662057876587,0.4902171492576599
15,1919,,,,0.4878453016281128,1.2258893251419067,0.4878453016281128
16,2039,,,,0.5028536319732666,1.2048983573913574,0.5028536319732666
17,2159,,,,0.4984438717365265,1.2080105543136597,0.4984438717365265
18,2279,,,,0.5022377371788025,1.2114331722259521,0.5022377371788025
19,2399,,,,0.4986693859100342,1.2180856466293335,0.4986693859100342
20,2519,,,,0.4907761216163635,1.2249510288238525,0.4907761216163635
21,2639,,,,0.48733967542648315,1.231740117073059,0.48733967542648315
22,2759,,,,0.4816615581512451,1.1705666780471802,0.4816615581512451
23,2879,,,,0.4895721673965454,1.2291393280029297,0.4895721673965454
24,2999,,,,0.472493439912796,1.1804431676864624,0.472493439912796
25,3119,,,,0.47536954283714294,1.1675620079040527,0.47536954283714294
26,3239,,,,0.47771602869033813,1.1993670463562012,0.47771602869033813
27,3359,,,,0.47034600377082825,1.202882170677185,0.47034600377082825
28,3479,,,,0.47029048204421997,1.1871143579483032,0.47029048204421997
29,3599,,,,0.46974655985832214,1.174047827720642,0.46974655985832214
30,3719,,,,0.4728902578353882,1.2098803520202637,0.4728902578353882
31,3839,,,,0.46877536177635193,1.1722780466079712,0.46877536177635193
32,3959,,,,0.46329763531684875,1.1997936964035034,0.46329763531684875
33,4079,,,,0.4964636564254761,1.2359811067581177,0.4964636564254761
34,4199,,,,0.4916142523288727,1.2202750444412231,0.4916142523288727
35,4319,,,,0.4883873760700226,1.237662672996521,0.4883873760700226
36,4439,,,,0.4682099521160126,1.1962696313858032,0.4682099521160126
37,4559,,,,0.4754630923271179,1.202526569366455,0.4754630923271179
38,4679,,,,0.46872812509536743,1.2057511806488037,0.46872812509536743
39,4799,,,,0.4797494113445282,1.215804934501648,0.4797494113445282
40,4919,,,,0.4636465311050415,1.187732219696045,0.4636465311050415
41,5039,,,,0.4594775140285492,1.1640558242797852,0.4594775140285492
42,5159,,,,0.460415780544281,1.1944609880447388,0.460415780544281
43,5279,,,,0.45933961868286133,1.1727572679519653,0.45933961868286133
44,5399,,,,0.4606655538082123,1.2063339948654175,0.4606655538082123
45,5519,,,,0.461141973733902,1.1713579893112183,0.461141973733902
46,5639,,,,0.46724966168403625,1.2095047235488892,0.46724966168403625
47,5759,,,,0.570728600025177,1.324726939201355,0.570728600025177
48,5879,,,,0.48519712686538696,1.2132363319396973,0.48519712686538696
49,5999,,,,0.476973295211792,1.1945370435714722,0.476973295211792
50,6119,,,,0.4578240215778351,1.1866382360458374,0.4578240215778351
51,6239,,,,0.45883920788764954,1.1862401962280273,0.45883920788764954
52,6359,,,,0.46197736263275146,1.201676607131958,0.46197736263275146
53,6479,,,,0.46326401829719543,1.1586416959762573,0.46326401829719543
54,6599,,,,0.48685139417648315,1.2393146753311157,0.48685139417648315
55,6719,,,,0.47572264075279236,1.2172960042953491,0.47572264075279236
56,6839,,,,0.4612596929073334,1.2025830745697021,0.4612596929073334
57,6959,,,,0.4526117444038391,1.1687577962875366,0.4526117444038391
58,7079,,,,0.4479300081729889,1.1779119968414307,0.4479300081729889
59,7199,,,,0.4541389048099518,1.1978191137313843,0.4541389048099518
60,7319,,,,0.4326877295970917,1.1409046649932861,0.4326877295970917
61,7439,,,,0.4426175355911255,1.1634817123413086,0.4426175355911255
62,7559,,,,0.45054149627685547,1.1388424634933472,0.45054149627685547
63,7679,,,,0.4389478266239166,1.1180061101913452,0.4389478266239166
64,7799,,,,0.43395528197288513,1.1529773473739624,0.43395528197288513
65,7919,,,,0.4274345636367798,1.1426173448562622,0.4274345636367798
66,8039,,,,0.42363637685775757,1.1557790040969849,0.42363637685775757
67,8159,,,,0.44200313091278076,1.16974937915802,0.44200313091278076
68,8279,,,,0.4506717026233673,1.1743125915527344,0.4506717026233673
69,8399,,,,0.4365215301513672,1.121790885925293,0.4365215301513672
70,8519,,,,0.45663970708847046,1.1673129796981812,0.45663970708847046
71,8639,,,,0.42855796217918396,1.1512110233306885,0.42855796217918396
72,8759,,,,0.4321954548358917,1.1354224681854248,0.4321954548358917
73,8879,,,,0.4249403476715088,1.1511743068695068,0.4249403476715088
74,8999,,,,0.418840229511261,1.1441147327423096,0.418840229511261
75,9119,,,,0.4244508147239685,1.1511884927749634,0.4244508147239685
76,9239,,,,0.4201929271221161,1.1318254470825195,0.4201929271221161
77,9359,,,,0.4455350339412689,1.1572234630584717,0.4455350339412689
78,9479,,,,0.4829329550266266,1.2023460865020752,0.4829329550266266
79,9599,,,,0.4453694522380829,1.182701826095581,0.4453694522380829
80,9719,,,,0.4293358325958252,1.159140706062317,0.4293358325958252
81,9839,,,,0.42935022711753845,1.1404383182525635,0.42935022711753845
82,9959,,,,0.42561960220336914,1.1717088222503662,0.42561960220336914
83,10079,,,,0.4154997766017914,1.1412378549575806,0.4154997766017914
84,10199,,,,0.423539400100708,1.1717950105667114,0.423539400100708
85,10319,,,,0.41865798830986023,1.1368744373321533,0.41865798830986023
86,10439,,,,0.41713330149650574,1.1614794731140137,0.41713330149650574
87,10559,,,,0.41441723704338074,1.154748558998108,0.41441723704338074
88,10679,,,,0.41478899121284485,1.1334837675094604,0.41478899121284485
89,10799,,,,0.40293610095977783,1.13965904712677,0.40293610095977783
90,10919,,,,0.40248164534568787,1.1274468898773193,0.40248164534568787
91,11039,,,,0.3992786407470703,1.0962098836898804,0.3992786407470703
92,11159,,,,0.4015900492668152,1.1163116693496704,0.4015900492668152
93,11279,,,,0.40752291679382324,1.1040598154067993,0.40752291679382324
94,11399,,,,0.3987678587436676,1.1099656820297241,0.3987678587436676
95,11519,,,,0.3938005864620209,1.0821051597595215,0.3938005864620209
96,11639,,,,0.4008775055408478,1.1144834756851196,0.4008775055408478
97,11759,,,,0.40076273679733276,1.137148380279541,0.40076273679733276
98,11879,,,,0.39893725514411926,1.1071929931640625,0.39893725514411926
99,11999,,,,0.40327659249305725,1.1147013902664185,0.40327659249305725
100,12119,,,,0.39670974016189575,1.12635338306427,0.39670974016189575
101,12239,,,,0.4132027328014374,1.092385172843933,0.4132027328014374
102,12359,,,,0.4247282147407532,1.125775694847107,0.4247282147407532
103,12479,,,,0.4128077030181885,1.127877116203308,0.4128077030181885
104,12599,,,,0.40053337812423706,1.0973625183105469,0.40053337812423706
105,12719,,,,0.3896622955799103,1.108006238937378,0.3896622955799103
106,12839,,,,0.3988853394985199,1.0563470125198364,0.3988853394985199
107,12959,,,,0.40454283356666565,1.131035327911377,0.40454283356666565
108,13079,,,,0.4030248522758484,1.1243348121643066,0.4030248522758484
109,13199,,,,0.383710116147995,1.0724257230758667,0.383710116147995
110,13319,,,,0.38495776057243347,1.1105101108551025,0.38495776057243347
111,13439,,,,0.3920581340789795,1.1040583848953247,0.3920581340789795
112,13559,,,,0.3978697955608368,1.1222063302993774,0.3978697955608368
113,13679,,,,0.3853440284729004,1.0503462553024292,0.3853440284729004
114,13799,,,,0.3822481334209442,1.0812411308288574,0.3822481334209442
